gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000000001	Gnai3	90.792051	90.486259	74.395975	75.309758	75.572059	75.02752	92.492433	77.744563	74.231116	86.711031	60.56111	57.423516	64.273064	73.733475	78.143745
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	8.222349	8.135637	7.835852	7.659284	7.325616	5.392563	8.750323	6.152349	5.014189	6.951812	5.212139	5.189831	5.312449	6.546489	7.186529
ENSMUSG00000000031	H19	22.30154	23.426788	74.052546	2.623643	30.616832	13.284559	49.518109	34.681794	1.274957	3.18448	15.933225	18.956119	2.25485	14.356947	29.68179
ENSMUSG00000000037	Scml2	0.39086	0.200766	0.251318	0.867132	0.391863	0.285916	0.733358	0.333189	0.486556	0.198217	0.411079	0.404441	0.418613	0.324154	0.284643
ENSMUSG00000000049	Apoh	0.103816	0.160292	0.04977	0.346351	0.129925	0.179075	0.049798	0.24939	0.092082	0.18217	0.187255	0.134531	0.202596	0.065476	0.107108
ENSMUSG00000000056	Narf	14.627261	15.602897	15.490424	12.840214	12.110016	18.727953	16.603205	12.300371	22.704184	15.497288	11.843586	13.28674	16.42341	12.712225	12.850031
ENSMUSG00000000058	Cav2	11.658028	18.544246	9.064904	12.099262	9.382405	11.157019	8.777297	6.893355	15.269602	18.058267	9.482924	7.675401	11.890479	10.730547	10.843992
ENSMUSG00000000078	Klf6	75.606599	130.399631	80.47115	96.599769	98.398675	94.726641	79.118975	86.11407	94.206423	105.58545	59.281325	53.021067	97.989667	90.974544	75.483351
ENSMUSG00000000085	Scmh1	19.172227	25.227967	20.155273	22.24478	20.368592	20.600396	23.186784	19.559824	24.156916	19.457248	28.546563	20.867215	19.220732	19.004177	22.11942
ENSMUSG00000000088	Cox5a	309.89965	262.941731	260.638057	321.360403	275.558009	294.592226	270.133359	235.386362	270.598667	277.282598	291.230445	247.120576	242.263893	280.17071	239.850138
ENSMUSG00000000093	Tbx2	2.116233	2.830322	1.72581	2.367004	2.989013	3.736379	3.515708	2.338655	2.789027	3.226535	2.684432	2.818238	2.383519	2.072196	2.699153
