ID,Description,n,setSize,percent,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,core_enrichment
GO:0006260,DNA replication,116,240,48.333333333333336,0.6238852904266412,2.646154161940732,1e-10,6.662222222222221e-8,5.631578947368422e-8,2628,Prim1/Ccne1/Dtl/Chaf1b/Gmnn/Wdhd1/Tipin/Dscc1/Rny1/Dnajc2/Cdt1/Mcm6/Mcm5/Ccne2/Rtel1/Lig1/E2f8/Rfc4/Chaf1a/Mcm7/Nucks1/Mcm3/Rbbp7/Cdc6/Top1mt/Orc6/Zgrf1/Atad5/Pcna/Gtpbp4/Npm1/Pole/Ccna2/Ticrr/Pold3/Mcm2/Grwd1/Rrm2/E2f7/Rfc3/Blm/Rrm1/Supt16/Gins1/Timeless/Pola1/Esco2/Stn1/Rpa3/Wapl/Ereg/Nasp/Topbp1/Obi1/Cdk1/Ddx21/Mcm4/Alyref/Cdc45/Ing5/Ssbp1/Rfwd3/Fen1/Pold2/Noc3l/Chtf18/Polq/Stoml2/Smc3/Prim2/Cenps/Mcmbp/Dnaja3/Ssrp1/Gins2/Rpa2/Dbf4/Rfc2/Pclaf/Map2k4/Rfc1/Faf1/Dna2/Hras/Brca2/Donson/Fam111a/Rad51/Mapk8/Fbxo5/Mcm10/Pole3/Mms22l/Met/Zmpste24/Rfc5/Pola2/Recql4/Cdk9/Mre11a/Orc2/Rny3/Eme1/Kat7/Orc4/Bcar3/Pole2/Atf1/Mcm8/Polh/Egf/Sin3a/Nfia/Dhx9/Thoc1/Cinp
GO:0006281,DNA repair,229,470,48.723404255319146,0.5242239755138894,2.373054738153208,1e-10,6.662222222222221e-8,5.631578947368422e-8,4024,Rad18/Fignl1/H2ax/Usp1/Dtl/Chaf1b/Xrcc5/Clspn/Wdhd1/Fancl/Mcm6/Rad51ap1/Parpbp/Mcm5/Rtel1/Neil3/Ddx1/Lig1/Uhrf1/Rfc4/Ier3/Chaf1a/Fancb/Mcm7/Ung/Nucks1/Mcm3/Ercc8/Psmd14/Fanca/Pcna/Npm1/Fancd2/Exo1/Pole/Foxm1/Ino80c/Ticrr/Chek1/Pold3/Mcm2/Ruvbl2/Smc4/Rfc3/Blm/Xrn2/Hmgb1/Rad23b/Rad54l/Trex2/Supt16/Bard1/Dek/Xrcc2/Timeless/Pola1/Babam2/Chchd4/Esco2/Rpa3/Ufl1/Smc2/Suv39h1/Topbp1/Msh6/Mcm4/Cdc45/Kif22/Atm/Hmga1/Asf1a/Rfwd3/Fen1/Pms2/Hmgn1/Uchl5/Pold2/Prpf19/Poldip2/Tdg/Actl6a/Zswim7/Polq/Parp2/Smc3/Xrcc6/Rad50/Ube2d3/Rnaseh2a/Brip1/Cenps/Hrob/Aunip/Apex1/Msh2/Fanci/Ssrp1/Gins2/Rpa2/Fh1/Aplf/Nsmce4a/Nudt1/Xrcc3/Sfr1/Rfc2/Ube2v2/Pclaf/Hpf1/Shld3/Rfc1/Dna2/Hus1/Brca2/Chek2/Cdkn2d/Trip13/Fam111a/Paxip1/Rad51/Cdca5/Faap24/Nbn/Smug1/Polr2i/Nhej1/Mms22l/Nsmce2/Wrap53/Brca1/Gtf2h5/Zmpste24/Faap100/Slf1/Rfc5/Chd1l/Fzr1/Hsf2bp/Inip/Recql4/Morf4l2/Mcrs1/Cdk9/Mre11a/Eme1/Ruvbl1/Rnf168/Kat7/Rad54b/Fancf/Fus/Psme4/Pole2/Mcm8/Polh/Nsmce1/Ppp4r2/Dhx9/Stub1/Cinp/Smc6/Cul4a/Tigar/Usp10/Brcc3/Upf1/Rpa1/Pot1a/Npas2/Tonsl/Spidr/Aptx/Exo5/Cgas/Atr/Rbbp8/Eya2/Nsmce3/Mad2l2/Setx/Ddb1/Rad23a/Nsd2/Dclre1b/Dclre1a/Swi5/Kat5/Park7/Rad21/Smc1a/Rad51b/Bccip/Hmga1b/Ube2v1/Usp7/Ube2t/Mnat1/Ppp4c/Usp3/Otub1/Vcp/Rad17/Ube2a/Cebpg/Mutyh/Shld2/Xrcc4/Fancm/Ube2n/Mpg/Rps3/Sem1/Pold1/Uimc1/Gins4/Rif1/Rmi2/Prmt6/Lig3/Trim28/Rad1/Tnks1bp1/Eya3/Tdp1/Rbx1/Bach1/Ogg1/Klhl15/Pnkp
GO:0006364,rRNA processing,140,211,66.35071090047393,0.6791207054766347,2.8370485909125858,1e-10,6.662222222222221e-8,5.631578947368422e-8,3669,Mphosph6/Wdr43/Lyar/Riok2/Rrp8/Wdr46/Pop4/Exosc9/Dkc1/Wdr36/Gtpbp4/Utp18/Wdr75/Npm1/Rpusd2/Tbl3/Rpp25/Rpf2/Snu13/Ftsj3/Dis3/Pa2g4/Rpl35/Pes1/Rrp12/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Nhp2/Nifk/Nol9/Wdr74/Imp3/Naf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/C1d/Eif6/Ddx21/Fcf1/Rps6/Ebna1bp2/Utp4/Exosc2/Pop7/Ncl/Rps24/Nop14/Utp23/Sart1/Rpl5/Exosc1/Npm3/Rpp40/Rpl7l1/Lsm6/Wdr12/Ngdn/Rpl14/Ddx18/Krr1/Exosc3/Tsr3/Rpp38/Bysl/Exosc4/Nol11/Nol10/Bop1/Rpl11/Pwp1/Ddx49/Mrpl1/Heatr1/Exosc7/Dcaf13/Ppan/Rps25/Imp4/Nop10/Utp11/Gtf2h5/Nat10/Mrto4/Gar1/Mettl15/Rrp9/Nsa2/Utp6/Las1l/Fbl/Mrm3/Rcl1/Rpl7a/Rps8/Urb1/Pwp2/Rps27rt/Rrs1/Exosc5/Rps7/Tsr2/Utp15/Fdxacb1/Shq1/Rps17/Esf1/Rpp30/Rpl27/Rpl26/Kri1/Pih1d2/Ddx51/Riok1/Rps19/Pdcd11/Eri2/Mettl5/Ythdf2/Bms1/Rrp1b/Rpl10a/Tsr1/Rpl35a/Znhit3/Mtrex/Rpl7/Mdn1/Mrps11
GO:0016072,rRNA metabolic process,145,220,65.9090909090909,0.6774937259442259,2.836949820766996,1e-10,6.662222222222221e-8,5.631578947368422e-8,3669,Mphosph6/Wdr43/Lyar/Riok2/Rrp8/Wdr46/Pop4/Exosc9/Dkc1/Wdr36/Gtpbp4/Slfn9/Utp18/Wdr75/Npm1/Dicer1/Rpusd2/Tbl3/Rpp25/Rpf2/Snu13/Ftsj3/Dis3/Pa2g4/Rpl35/Pes1/Rrp12/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Nhp2/Nifk/Nol9/Wdr74/Imp3/Naf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/C1d/Eif6/Ddx21/Fcf1/Rps6/Ebna1bp2/Utp4/Exosc2/Pop7/Ncl/Rps24/Nop14/Utp23/Sart1/Rpl5/Exosc1/Npm3/Rpp40/Rpl7l1/Lsm6/Wdr12/Ngdn/Rpl14/Ddx18/Krr1/Exosc3/Tsr3/Trir/Rpp38/Bysl/Exosc4/Nol11/Nol10/Bop1/Rpl11/Pwp1/Ddx49/Mrpl1/Heatr1/Exosc7/Dcaf13/Ppan/Rps25/Imp4/Nop10/Utp11/Gtf2h5/Nat10/Mrto4/Gar1/Mettl15/Rrp9/Nsa2/Utp6/Las1l/Fbl/Mrm3/Rcl1/Rpl7a/Rps8/Urb1/Pwp2/Pelo/Rps27rt/Rrs1/Exosc5/Rps7/Tsr2/Utp15/Fdxacb1/Shq1/Rps17/Esf1/Rpp30/Rpl27/Rpl26/Kri1/Pih1d2/Ddx51/Riok1/Rps19/Pdcd11/Eri2/Mettl5/Ythdf2/Bms1/Rrp1b/Rpl10a/Tsr1/Rpl35a/Znhit3/Mtrex/Drosha/Rpl7/Mdn1/Mrps11
GO:0019730,antimicrobial humoral response,3,81,3.7037037037037033,0.8008014867755398,2.988832930386124,1e-10,6.662222222222221e-8,5.631578947368422e-8,4,Krt6a/Ltf/Ppbp
GO:0022613,ribonucleoprotein complex biogenesis,253,401,63.092269326683294,0.6504639470137323,2.9056606374931055,1e-10,6.662222222222221e-8,5.631578947368422e-8,3676,Mphosph6/Xrcc5/Wdr43/Lyar/Urb2/Nop56/Riok2/Rrp8/Ddx20/Wdr46/C1qbp/Gtpbp10/Mybbp1a/Heatr3/Noc2l/Nufip1/Pop4/Exosc9/Dkc1/Wdr36/Gtpbp4/Rbis/Utp18/Wdr75/Npm1/Dicer1/Rpusd2/Nmd3/Tbl3/Rpp25/Nop58/Ddx28/Rpf2/Snu13/Strap/Rpl13a/Ruvbl2/Ftsj3/Dis3/Pa2g4/Rpl35/Lsm4/Pes1/Rrp12/Sf3a2/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Nhp2/Nifk/Nol9/Abce1/Wdr74/Mrps2/Imp3/Aatf/Mrpl20/Denr/Naf1/Srsf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/Isy1/C1d/Eif6/Nip7/Mrps7/Ddx21/Fcf1/Eif3d/Mrpl36/Snrpe/Atm/Rps6/Ebna1bp2/Usp39/Rps2/Utp4/Eif5/Exosc2/Prmt7/Gemin5/Pop7/Gemin6/Ncl/Rps24/Nop14/Sf3a3/Utp23/Rrn3/Sart1/Rpl5/Pak1ip1/Prpf19/Exosc1/Npm3/Snrpf/Rpp40/Rpl7l1/Lsm6/Riox1/Wdr12/Lsm2/Mpv17l2/Ngdn/Rpl14/Ddx18/Efl1/Krr1/Exosc3/Clns1a/Tsr3/Gnl2/Prpf31/Sdad1/Rpp38/Bysl/Exosc4/Lsg1/Nol11/Nol10/Srsf10/Prmt5/Eif2s3x/Bop1/Rpl11/Pwp1/Ddx3x/Ran/Ncbp1/Ddx49/Rpl38/Xpo1/Mrpl1/Heatr1/Exosc7/Dcaf13/Scaf11/Prpf8/Mcts2/Ppan/Snrpd1/Rps25/Imp4/Ptges3/Nop10/Snrpg/Ltv1/Utp11/Riox2/Nudt21/Tarbp2/Gtf2h5/Zrsr2/Rpl24/Nat10/Mrto4/Rpl6/Gar1/Mettl15/Rrp9/Nsa2/Utp6/Eif2d/Las1l/Fbl/Mrpl10/Mrm3/Rcl1/Surf6/Ruvbl1/Rsl24d1/Rpl7a/Clp1/Rps8/Urb1/Pwp2/Ckap5/Snrpd3/Nup88/Rbmx/Rps27rt/Rrs1/Gemin2/Noc4l/Exosc5/Srsf6/Rpl3/Polr2d/Rps7/Tsr2/Utp15/Fdxacb1/Nle1/Rpsa/Gemin4/Dhx9/Snrpb/Shq1/Snrpd2/Rps17/Cul4a/Esf1/Rpp30/Rpl27/Rpl26/Kri1/Pih1d2/Ddx51/Riok1/Nop16/Rps19/Pdcd11/Eif2a/Eri2/Srpk1/Ddx39b/Celf1/Mettl5/Atr/Ythdf2/Setx/Eif4h/Sf3a1/Taf9/Bms1/Rrp1b/Ago1/Ddx31/Rpl10a/Tsr1/Rpl35a/Znhit3/Gemin7/Rps27l/Mtrex/Drosha/Nopchap1/Rpl7/Mdn1/Mrps11/Cpsf6
GO:0034470,ncRNA processing,199,356,55.89887640449438,0.603711295905796,2.660403708217912,1e-10,6.662222222222221e-8,5.631578947368422e-8,3669,Mphosph6/Wdr43/Lyar/Riok2/Rrp8/Wdr46/Ddx1/Pop4/Exosc9/Dkc1/Wdr36/Gtpbp4/Utp18/Wdr75/Npm1/Dicer1/Rpusd2/Tbl3/Elac2/Rpp25/Rpf2/Snu13/Trmt10c/Lage3/Ftsj3/Dis3/Pa2g4/Rpl35/Pes1/Rrp12/Ssb/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Mocs3/Nhp2/Nifk/Pus1/Nol9/Wdr74/Imp3/Naf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/C1d/Eif6/Ddx21/Fcf1/Rps6/Ebna1bp2/Rpp14/Utp4/Exosc2/Pop7/Ncl/Rps24/Nop14/Utp23/Sart1/Rpl5/Exosc1/Npm3/Rpp40/Rpl7l1/Lsm6/Wdr12/Ngdn/Rpl14/Ddx18/Krr1/Exosc3/Ints10/Trmt6/Tsr3/Rpp38/Larp7/Bysl/Aars/Exosc4/Nol11/Nol10/Bop1/Rpl11/Pwp1/Trub1/Ddx3x/Pus7/Ints7/Ddx49/Mrpl1/Heatr1/Exosc7/Dcaf13/Elp6/Ints14/Urm1/Ppan/Nsun2/Rps25/Imp4/Toe1/Trnt1/Ints2/Tsen34/Thumpd1/Nop10/Utp11/Dph3/Ints5/Tarbp2/Gtf2h5/Tarbp1/Elp1/Nat10/Mrto4/Mettl1/Gar1/Mettl15/Rrp9/Trmt11/Tsen2/Nsa2/Utp6/Las1l/Fbl/Mrm3/Rcl1/Trdmt1/2210016F16Rik/Rpl7a/Clp1/Rps8/Urb1/Pwp2/Lcmt2/Adat2/Thg1l/Rps27rt/Rrs1/Prorp/Pop1/Dus1l/Exosc5/Mettl2/Rps7/Tsr2/Utp15/Fdxacb1/Shq1/Rps17/Esf1/Rpp30/Rpl27/Rpl26/Kri1/Pih1d2/Osgep/Ddx51/Riok1/Rps19/Grsf1/Pdcd11/Eri2/Parn/Mettl5/Ythdf2/Polr3k/Alkbh8/Bms1/Trmt61a/Rrp1b/Ago1/Qtrt1/Qtrt2/Trmu/Ctu2/Rpl10a/Tsr1/Rnf113a1/Rpl35a/Znhit3/Pusl1/Mtrex/Drosha/Rpl7/Mdn1/Trub2/Mrps11
GO:0034660,ncRNA metabolic process,236,429,55.011655011655016,0.5974026638904101,2.6865532944753894,1e-10,6.662222222222221e-8,5.631578947368422e-8,3669,Mphosph6/Wdr43/Lyar/Riok2/Rrp8/Wdr46/Ddx1/Pop4/Exosc9/Tars/Dkc1/Wdr36/Gtpbp4/Slfn9/Utp18/Wdr75/Npm1/Dicer1/Rpusd2/Tbl3/Elac2/Rpp25/Rpf2/Snu13/Trmt10c/Lage3/Hars/Ftsj3/Dis3/Pa2g4/Rpl35/Pes1/Rrp12/Ssb/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Mocs3/Nhp2/Nifk/Gars/Pus1/Nol9/Wdr74/Nolc1/Imp3/Eprs/Naf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/C1d/Eif6/Qrsl1/Ddx21/Fcf1/Rps6/Ebna1bp2/Rpp14/Lars/Utp4/Exosc2/Pop7/Ncl/Rps24/Nop14/Farsb/Utp23/Sart1/Mars1/Rpl5/Exosc1/Npm3/Rpp40/Rpl7l1/Lsm6/Wdr12/Ngdn/Rpl14/Ddx18/Krr1/Exosc3/Ints10/Trmt6/Tsr3/Trir/Rpp38/Larp7/Bysl/Aars/Exosc4/Sars2/Nol11/Nol10/Cars/Iars/Iars2/Bop1/Dars/Rpl11/Pwp1/Trub1/Ddx3x/Pus7/Ints7/Ddx49/Mrpl1/Heatr1/Exosc7/Hras/Dcaf13/Elp6/Ints14/Nars/Urm1/Ppan/Nsun2/Rps25/Imp4/Toe1/Trnt1/Ints2/Tsen34/Sars/Dtd2/Thumpd1/Nop10/Vars2/Utp11/Dph3/Pnpt1/Ints5/Tarbp2/Gtf2h5/Tarbp1/Elp1/Rars/Nat10/Mrto4/Mettl1/Gar1/Mettl15/Rrp9/Trmt11/Tsen2/Nsa2/Tdrd12/Utp6/Las1l/Fbl/Mrm3/Rcl1/Trdmt1/2210016F16Rik/Rpl7a/Clp1/Rps8/Urb1/Pwp2/Rars2/Pelo/Lcmt2/Adat2/Thg1l/Rps27rt/Rrs1/Prorp/Pop1/Dus1l/Exosc5/Mettl2/Rps7/Tsr2/Utp15/Fdxacb1/Shq1/Rps17/Tars2/Esf1/Rpp30/Farsa/Rpl27/Zc3h12a/Rpl26/Kri1/Pih1d2/Osgep/Ddx51/Riok1/Pars2/Tarsl2/Kars/Rps19/Grsf1/Pdcd11/Eri2/Parn/Mettl5/Ythdf2/Dtd1/Polr3k/Alkbh8/Yars2/Bms1/Trmt61a/Rrp1b/Ago1/Qtrt1/Aarsd1/Ears2/Qtrt2/Trmu/Dis3l2/Ctu2/Rpl10a/Tsr1/Rnf113a1/Rpl35a/Znhit3/Pusl1/Mtrex/Drosha/Rpl7/Mdn1/Trub2/Mrps11
GO:0042254,ribosome biogenesis,175,288,60.763888888888886,0.679119305635576,2.93026191079681,1e-10,6.662222222222221e-8,5.631578947368422e-8,3060,Mphosph6/Xrcc5/Wdr43/Lyar/Urb2/Nop56/Riok2/Rrp8/Wdr46/C1qbp/Gtpbp10/Mybbp1a/Heatr3/Noc2l/Pop4/Exosc9/Dkc1/Wdr36/Gtpbp4/Rbis/Utp18/Wdr75/Npm1/Rpusd2/Nmd3/Tbl3/Rpp25/Nop58/Ddx28/Rpf2/Snu13/Ftsj3/Dis3/Pa2g4/Rpl35/Pes1/Rrp12/Mak16/Ddx52/Ddx27/Ddx56/Rrp15/Rrp7a/Nop9/Nol6/Nhp2/Nifk/Nol9/Abce1/Wdr74/Mrps2/Imp3/Aatf/Mrpl20/Naf1/Suv39h1/Eri1/Rpf1/Srfbp1/Rsl1d1/Mphosph10/Brix1/Nop2/C1d/Eif6/Nip7/Mrps7/Ddx21/Fcf1/Mrpl36/Rps6/Ebna1bp2/Rps2/Utp4/Exosc2/Pop7/Ncl/Rps24/Nop14/Utp23/Rrn3/Sart1/Rpl5/Pak1ip1/Exosc1/Npm3/Rpp40/Rpl7l1/Lsm6/Riox1/Wdr12/Mpv17l2/Ngdn/Rpl14/Ddx18/Efl1/Krr1/Exosc3/Tsr3/Gnl2/Sdad1/Rpp38/Bysl/Exosc4/Lsg1/Nol11/Nol10/Bop1/Rpl11/Pwp1/Ddx3x/Ran/Ddx49/Rpl38/Xpo1/Mrpl1/Heatr1/Exosc7/Dcaf13/Ppan/Rps25/Imp4/Nop10/Ltv1/Utp11/Riox2/Gtf2h5/Rpl24/Nat10/Mrto4/Rpl6/Gar1/Mettl15/Rrp9/Nsa2/Utp6/Las1l/Fbl/Mrpl10/Mrm3/Rcl1/Surf6/Rsl24d1/Rpl7a/Rps8/Urb1/Pwp2/Nup88/Rps27rt/Rrs1/Noc4l/Exosc5/Rpl3/Rps7/Tsr2/Utp15/Fdxacb1/Nle1/Rpsa/Shq1/Rps17/Cul4a/Esf1/Rpp30/Rpl27/Rpl26/Kri1/Pih1d2/Ddx51/Riok1/Nop16/Rps19/Pdcd11/Eif2a/Eri2
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,3,64,4.6875,0.8455752796324594,3.038606726663958,4.845578817711912e-10,2.9054090591000625e-7,2.4559433691876687e-7,4,Krt6a/Ltf/Ppbp
