ID,Description,n,setSize,percent,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,core_enrichment
GO:0008324,cation transmembrane transporter activity,182,467,38.97216274089936,-0.3726746897847409,-1.8101464516272816,1.8378556128299723e-7,1.661491969231218e-4,1.35345813330452e-4,4748,Slc5a8/Slc2a4/Slc19a3/Atp6v0a4/Trpv4/Slc1a2/Slc5a7/Slc41a2/Calhm5/Nalcn/Slc8a3/Slc25a29/Slc6a7/Slc2a13/Slc41a1/Slc30a6/Trpm3/Slc6a4/Slc5a5/Scn11a/Trpm6/Grik1/Scnn1a/Kcnj8/Asic2/Slc12a7/P2rx4/Cnnm4/Cacna2d1/Kcnip2/Slc1a3/Slc6a11/Trpm5/Slc3a2/Unc80/Snap25/Slc4a7/Kcnk2/Gria2/Scn3a/Kcna6/Slc20a1/Pkd2/Grik4/Kcna5/Kcnt2/Trpc4/Slc10a6/Slc18a3/Cacna1b/Nipal3/Slc9a2/Cox7a1/Uqcr11/Kcnc2/Kcnn2/Rasa3/Slc25a26/Atp5d/Slc18a2/Hcn3/Slc8a2/Scn9a/Kcnk3/Atp1b2/Kcnj10/Slc10a5/Atp4a/Atp2a3/Atp6v0e2/Atp6v0a2/Slc9a3/Cnnm2/Grik2/Trpc1/Cox4i1/Kcnd1/Slc25a47/Slc5a6/Kcnd3/Atp1a2/Abcc9/Mfsd12/Cacna2d3/Slc25a37/Kcng3/Slc10a4/Cox6a1/Kcnmb1/Slc38a7/Cacna2d2/Tmem63c/Cacnb4/Kcnh2/Atp2b2/Scn3b/Slc5a3/Atp2c2/Calhm2/Slc39a9/Slc6a9/Slc25a45/Slc4a4/Scn7a/Slc9a1/Psen1/Tmem175/Kcnb1/Grin3a/Kcnab2/Slc1a5/Slc39a5/P2rx2/Kcnn3/Ctns/Atp1a3/Slc29a4/Slc25a20/Slc24a3/Chrnb4/Kcne4/Kcna2/Slc12a9/Itpr1/Sfxn2/Kcnma1/Slc39a11/Tmem38a/Atp6v0d1/Slc38a9/Kcnc1/Kcna1/Tmem63a/Slc39a13/Grik5/Slc9a5/Kcns3/Cacnb3/Kcnk5/Stim1/Ano10/Cacnb1/Atp6v0d2/Atp2b4/Cacna1h/Slc39a3/Slc25a42/Slc9a9/Kcna4/Abcc8/Tpcn1/Slc8a1/Kcnt1/Grik3/Sfxn3/Tmem38b/Slc15a4/Hcn2/Itpr2/Slc45a4/Trpc3/Kcnq4/Slc38a6/Gria3/Surf1/Atp6v0b/Trpm4/Pkd1/Orai3/Ryr3/Slc8b1/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Slc7a8/Kcnq2/Cacna1d/Ryr2/Cacna1e
GO:0005261,cation channel activity,96,235,40.85106382978723,-0.4564350739135759,-2.0720310041944128,2.993679223840033e-7,1.661491969231218e-4,1.35345813330452e-4,4475,Trpm3/Scn11a/Trpm6/Grik1/Scnn1a/Kcnj8/Asic2/P2rx4/Cacna2d1/Kcnip2/Trpm5/Unc80/Snap25/Kcnk2/Gria2/Scn3a/Kcna6/Pkd2/Grik4/Kcna5/Kcnt2/Trpc4/Cacna1b/Kcnc2/Kcnn2/Rasa3/Atp5d/Hcn3/Scn9a/Kcnk3/Kcnj10/Grik2/Trpc1/Kcnd1/Kcnd3/Abcc9/Cacna2d3/Kcng3/Kcnmb1/Cacna2d2/Tmem63c/Cacnb4/Kcnh2/Scn3b/Calhm2/Scn7a/Psen1/Tmem175/Kcnb1/Grin3a/Kcnab2/P2rx2/Kcnn3/Slc24a3/Chrnb4/Kcne4/Kcna2/Itpr1/Kcnma1/Tmem38a/Kcnc1/Kcna1/Tmem63a/Grik5/Kcns3/Cacnb3/Kcnk5/Stim1/Ano10/Cacnb1/Cacna1h/Kcna4/Abcc8/Tpcn1/Kcnt1/Grik3/Tmem38b/Hcn2/Itpr2/Trpc3/Kcnq4/Gria3/Trpm4/Pkd1/Orai3/Ryr3/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Kcnq2/Cacna1d/Ryr2/Cacna1e
GO:0022890,inorganic cation transmembrane transporter activity,163,423,38.53427895981088,-0.37056039027932314,-1.788840277053222,5.594194935331056e-7,2.0698521260724905e-4,1.6861099822629394e-4,4748,Slc5a8/Slc2a4/Atp6v0a4/Trpv4/Slc1a2/Slc5a7/Slc41a2/Calhm5/Nalcn/Slc8a3/Slc2a13/Slc41a1/Slc30a6/Trpm3/Slc6a4/Slc5a5/Scn11a/Trpm6/Grik1/Scnn1a/Kcnj8/Asic2/Slc12a7/P2rx4/Cnnm4/Cacna2d1/Kcnip2/Slc1a3/Slc6a11/Trpm5/Unc80/Snap25/Slc4a7/Kcnk2/Gria2/Scn3a/Kcna6/Slc20a1/Pkd2/Grik4/Kcna5/Kcnt2/Trpc4/Slc10a6/Cacna1b/Nipal3/Slc9a2/Cox7a1/Uqcr11/Kcnc2/Kcnn2/Rasa3/Atp5d/Slc18a2/Hcn3/Slc8a2/Scn9a/Kcnk3/Atp1b2/Kcnj10/Slc10a5/Atp4a/Atp2a3/Atp6v0e2/Atp6v0a2/Slc9a3/Cnnm2/Grik2/Trpc1/Cox4i1/Kcnd1/Slc5a6/Kcnd3/Atp1a2/Abcc9/Cacna2d3/Slc25a37/Kcng3/Slc10a4/Cox6a1/Kcnmb1/Cacna2d2/Tmem63c/Cacnb4/Kcnh2/Atp2b2/Scn3b/Slc5a3/Atp2c2/Calhm2/Slc39a9/Slc6a9/Slc4a4/Scn7a/Slc9a1/Psen1/Tmem175/Kcnb1/Grin3a/Kcnab2/Slc39a5/P2rx2/Kcnn3/Ctns/Atp1a3/Slc24a3/Chrnb4/Kcne4/Kcna2/Slc12a9/Itpr1/Kcnma1/Slc39a11/Tmem38a/Atp6v0d1/Kcnc1/Kcna1/Tmem63a/Slc39a13/Grik5/Slc9a5/Kcns3/Cacnb3/Kcnk5/Stim1/Ano10/Cacnb1/Atp6v0d2/Atp2b4/Cacna1h/Slc39a3/Slc9a9/Kcna4/Abcc8/Tpcn1/Slc8a1/Kcnt1/Grik3/Tmem38b/Slc15a4/Hcn2/Itpr2/Slc45a4/Trpc3/Kcnq4/Gria3/Surf1/Atp6v0b/Trpm4/Pkd1/Orai3/Ryr3/Slc8b1/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Kcnq2/Cacna1d/Ryr2/Cacna1e
GO:0046873,metal ion transmembrane transporter activity,134,320,41.875,-0.3982828677480409,-1.872290392591274,8.741321551629826e-7,2.4257167305772765e-4,0.00019759987402236896,4662,Trpv4/Slc1a2/Slc5a7/Nalcn/Slc8a3/Slc41a1/Slc30a6/Slc6a4/Slc5a5/Scn11a/Trpm6/Grik1/Scnn1a/Kcnj8/Asic2/Slc12a7/P2rx4/Cnnm4/Cacna2d1/Kcnip2/Slc1a3/Slc6a11/Trpm5/Snap25/Slc4a7/Kcnk2/Gria2/Scn3a/Kcna6/Slc20a1/Pkd2/Grik4/Kcna5/Kcnt2/Trpc4/Slc10a6/Cacna1b/Nipal3/Slc9a2/Kcnc2/Kcnn2/Rasa3/Slc18a2/Hcn3/Slc8a2/Scn9a/Kcnk3/Atp1b2/Kcnj10/Slc10a5/Atp4a/Atp2a3/Slc9a3/Cnnm2/Grik2/Trpc1/Kcnd1/Slc5a6/Kcnd3/Atp1a2/Abcc9/Cacna2d3/Slc25a37/Kcng3/Slc10a4/Kcnmb1/Cacna2d2/Cacnb4/Kcnh2/Atp2b2/Scn3b/Slc5a3/Atp2c2/Slc39a9/Slc6a9/Slc4a4/Scn7a/Slc9a1/Psen1/Tmem175/Kcnb1/Grin3a/Kcnab2/Slc39a5/Kcnn3/Atp1a3/Slc24a3/Kcne4/Kcna2/Slc12a9/Itpr1/Kcnma1/Slc39a11/Tmem38a/Kcnc1/Kcna1/Slc39a13/Grik5/Slc9a5/Kcns3/Cacnb3/Kcnk5/Stim1/Cacnb1/Atp2b4/Cacna1h/Slc39a3/Slc9a9/Kcna4/Abcc8/Tpcn1/Slc8a1/Kcnt1/Grik3/Tmem38b/Hcn2/Itpr2/Trpc3/Kcnq4/Trpm4/Pkd1/Orai3/Ryr3/Slc8b1/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Kcnq2/Cacna1d/Ryr2/Cacna1e
GO:0005125,cytokine activity,11,129,8.527131782945736,0.6910942212642728,2.67719479961464,1.4162542901260843e-6,3.144084524079907e-4,2.561184074143803e-4,327,Ppbp/Cxcl3/Il1a/Tnfsf10/Tnf/Cxcl1/Inhba/Cxcl5/Clcf1/Il1b/Hmgb1
GO:0008009,chemokine activity,4,32,12.5,0.8475717726734464,2.61632237676929,1.945298375255718e-6,3.598801994223078e-4,2.931598779552038e-4,220,Ppbp/Cxcl3/Cxcl1/Cxcl5
GO:0022843,voltage-gated cation channel activity,46,101,45.54455445544555,-0.5522594951519525,-2.2064090582099647,3.088624383394617e-6,4.897675807954321e-4,3.9896666847157535e-4,3879,Snap25/Kcnk2/Kcna6/Pkd2/Kcna5/Kcnt2/Cacna1b/Kcnc2/Kcnn2/Hcn3/Kcnk3/Kcnj10/Kcnd1/Kcnd3/Cacna2d3/Kcng3/Cacna2d2/Cacnb4/Kcnh2/Kcnb1/Grin3a/Kcnab2/Kcnn3/Kcne4/Kcna2/Kcnma1/Kcnc1/Kcna1/Kcns3/Cacnb3/Kcnk5/Cacnb1/Cacna1h/Kcna4/Tpcn1/Kcnt1/Hcn2/Kcnq4/Kcnq3/Cacna1c/Cachd1/Grm7/Cacnb2/Kcnq2/Cacna1d/Cacna1e
GO:0061135,endopeptidase regulator activity,26,123,21.138211382113823,0.6456226087280141,2.464096461988619,4.2412253432055066e-6,5.654997954962819e-4,4.606584393848328e-4,2259,Ltf/Xiap/Uchl5/Slpi/Psmd14/Nlrc4/Cast/Csta1/Psme3/Serpine1/Papln/Anxa2/Serpine2/Birc3/Serpinb11/Naip2/Birc5/Psme1/Psme2/Timp1/Usp14/Serpinb5/Rock1/Wfdc18/Serpinb8/App
GO:0061134,peptidase regulator activity,28,155,18.064516129032256,0.5928828490121549,2.3599057185100563,4.585133476996881e-6,5.654997954962819e-4,4.606584393848328e-4,1847,Ltf/Xiap/Uchl5/Slpi/Psmd14/Nlrc4/Cast/Csta1/Apaf1/Psme3/Serpine1/Clpx/Papln/Bcl10/Anxa2/Serpine2/Psme4/Tank/Ctsc/Birc3/Serpinb11/Naip2/Birc5/Psme1/Psme2/Timp1/Usp14/Serpinb5
GO:0005126,cytokine receptor binding,36,195,18.461538461538463,0.5996524765736522,2.443211408227447,5.951925210852924e-6,6.606636984046746e-4,5.381793427497539e-4,1861,Ppbp/Cxcl3/Il1a/Tnfsf10/Tnf/Cxcl1/Angpt2/Cxcl5/Clcf1/Il1b/Lrg1/Trim37/Jak2/Adam17/Erap1/Il33/Cxcl2/Casp8/Osm/Nup85/Cd2ap/Ccl7/Smad2/Cd44/Hsd17b7/Nucb2/Usp15/Ticam2/S100a14/Ripk1/Lyn/Sdcbp/Nradd/Casp3/Babam2/Ccl2
