ID,Description,k,M,percent,GeneRatio,n,BgRatio,N,pvalue,p.adjust,qvalue,geneID
GO:0008094,"ATP-dependent activity, acting on DNA",10,76,13.157894736842104,0.09090909090909091,110,0.009822928783766317,7737,9.72994685336517e-8,2.7924947469158037e-5,2.591238477790935e-5,Gtf2f2/Mcm3/Mcm6/Mcm4/Ruvbl2/Rfc3/Xrcc5/Hells/Smc3/Atad5
GO:0004386,helicase activity,10,97,10.309278350515463,0.09090909090909091,110,0.012537159105596484,7737,9.996608580314953e-7,1.4345133312751958e-4,1.3311273530629912e-4,Gtf2f2/Ddx52/Mcm3/Ddx20/Mcm6/Mcm4/Ruvbl2/Rfc3/Xrcc5/Hells
GO:0140097,"catalytic activity, acting on DNA",11,139,7.913669064748201,0.1,110,0.01796561974925682,7737,3.956614099506541e-6,3.7851608218612576e-4,3.512362691842649e-4,Gtf2f2/Mcm3/Pold3/Mcm6/Mcm4/Ruvbl2/Rfc3/Xrcc5/Hells/Smc3/Atad5
GO:0003678,DNA helicase activity,7,52,13.461538461538462,0.06363636363636363,110,0.00672095127310327,7737,7.654886138014873e-6,5.492380804025672e-4,5.096542612941482e-4,Gtf2f2/Mcm3/Mcm6/Mcm4/Ruvbl2/Rfc3/Xrcc5
GO:0140640,"catalytic activity, acting on a nucleic acid",16,346,4.624277456647398,0.14545454545454545,110,0.044720175778725606,7737,2.7129175667693083e-5,0.0015572146833255829,0.0014449855671423895,Prim1/Gtf2f2/Dis3/Ddx52/Mcm3/Pold3/Ddx20/Mcm6/Mcm4/Ruvbl2/Rfc3/Xrcc5/Hells/Slfn9/Smc3/Atad5
GO:0140657,ATP-dependent activity,14,288,4.861111111111112,0.12727272727272726,110,0.03722373012795657,7737,5.261337281858371e-5,0.0025166729998222542,0.0023352953198423998,Gtf2f2/Ddx52/Mcm3/Kif5b/Ddx20/Mcm6/Cct6a/Mcm4/Ruvbl2/Rfc3/Xrcc5/Hells/Smc3/Atad5
GO:0017116,single-stranded DNA helicase activity,4,20,20,0.03636363636363636,110,0.002584981258885873,7737,1.5723709494869532e-4,0.006446720892896508,0.0059821030108300624,Mcm3/Mcm6/Mcm4/Rfc3
GO:0030545,signaling receptor regulator activity,9,156,5.769230769230769,0.08181818181818182,110,0.02016285381930981,7737,3.575003768071598e-4,0.012825326017956858,0.011900999385817294,Cxcl3/Tnf/Tnfsf10/Il1a/Cxcl1/Dut/Angpt2/Adm/Nppc
GO:0001046,core promoter sequence-specific DNA binding,4,34,11.76470588235294,0.03636363636363636,110,0.0043944681401059844,7737,0.0012914335453831976,0.04118238083610864,0.038214349354613916,Fos/Npm1/Ruvbl2/Egr1
GO:0003682,chromatin binding,13,356,3.651685393258427,0.11818181818181818,110,0.04601266640816854,7737,0.0015407811444580232,0.04422041884594526,0.04103343468925051,Fos/Npm1/H1f1/Vrk1/Hdac2/Nap1l4/Ruvbl2/Hells/Egr1/Smc3/Dnajc2/Cdt1/Wdhd1
