gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000000001	Gnai3	3238.36180003633	3958.97968531812	2518.40552223839	2968.35760855466	2464.46795092416	2958.41479880584	3604.39727920117	2814.67138802521	2485.37126909493	2893.84278509401	1576.63551692668	2321.19018504245	1722.33134127993	3099.70979060497	2616.40160619894
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	293.273922275056	355.952627128971	265.25430909727	301.893068591204	238.89445506278	212.634486421687	340.996980945797	222.740215279691	167.882714822876	232.005671798896	135.691757739558	209.78486895907	142.358195521085	275.210357946479	240.618695950588
ENSMUSG00000000031	H19	795.449099591133	1024.9752703806	2506.77998080155	103.411707433467	998.440458302577	523.824270630421	1929.70312880392	1255.622894905	42.6875098729684	106.276956530204	414.802311816679	766.249795106532	60.4234275323337	603.557192701099	993.802933694304
ENSMUSG00000000037	Scml2	13.9411554119666	8.78396923783288	8.50745808543955	34.1782783291007	12.7789796577197	11.2739715455792	28.5787009179488	12.0628055379864	16.2906388637044	6.61517720084517	10.7019463755322	16.348432576451	11.2176119340944	13.6272341356998	9.53039046686698
ENSMUSG00000000049	Apoh	3.7028987111721	7.013139660454	1.68478258187765	13.6515327280764	4.2369627447073	7.06111744192206	1.94061038171263	9.02893874983395	3.0830461608687	6.07963409131388	4.87495826483541	5.43805149068103	5.42898406738394	2.75257063700919	3.58618009972207
ENSMUSG00000000056	Narf	521.72368329427	682.662239966304	524.372042216184	506.101041014765	394.917734306787	738.463077368681	647.021004713102	445.323775449031	760.170796864279	517.197345598669	308.333488857381	537.080496415631	440.099662491432	534.414094722557	430.243543460915
ENSMUSG00000000058	Cav2	415.817377437084	811.352950214705	306.859400554411	476.896186754394	305.96806188767	439.933108813379	342.048148150029	249.567665407039	511.249623423612	602.665947649165	246.876498510619	310.257307606608	318.630284134748	451.10557442799	363.077532135278
ENSMUSG00000000078	Klf6	2696.7286159475	5705.28051228176	2724.05850640272	3807.51003469925	3208.86296019674	3735.17206187234	3083.23836851806	3117.68179770204	3154.17509132429	3523.74650802392	1543.31785671487	2143.2331019382	2625.83832312216	3824.51369249344	2527.3265415892
ENSMUSG00000000085	Scmh1	683.833076294588	1103.78094926961	682.283562053222	876.784944171836	664.236794043819	812.295493542378	903.580741172905	708.14568689014	808.810485569685	649.354714079974	743.175366369361	843.500677443202	515.05976323055	798.923874255077	740.600364318205
ENSMUSG00000000088	Cox5a	11053.4697404801	11504.2989173791	8822.95476407542	12666.5205501423	8986.1767799786	11616.0843516027	10527.0011029018	8521.94973753655	9060.05713853454	9253.8658161546	7581.83367506578	9989.18031304869	6491.96832711113	11778.2037646774	8030.64002512596
ENSMUSG00000000093	Tbx2	75.4815871179767	123.83302641464	58.421029287327	93.2962011759394	97.4742099245396	147.329392302283	137.005892683846	84.6688830826934	93.3808886091652	107.680475285818	69.8859521229801	113.91964199325	63.8713828274344	87.1138411590185	90.3727898448773
ENSMUSG00000000094	Tbx4	22.3071683714483	64.1592985748651	16.7201723103123	17.4793901687071	12.9037813234807	26.4948741121499	46.1925128222326	69.4751837873515	17.3349947188098	25.6382211150652	12.2833692470038	49.5718385171089	7.91827332262868	18.4916531744158	16.4612121888921
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	59.6429707593648	77.6853143836974	24.8591582558335	60.1433516039482	50.3783919852426	76.660214790743	42.4178740378825	49.7421429052111	112.266044642912	80.6831554237874	33.789757048607	65.9193818031154	89.7384301401022	63.2677999377869	84.0745083107368
ENSMUSG00000000125	Wnt3	14.6838680946238	18.0053299686009	31.5867791182479	27.0479301415476	29.9951851982283	26.894665650576	34.4919938199018	42.6806431805274	23.0770099932029	17.8315130586336	16.3686183772072	36.1847026986974	15.3147804268916	27.4286794742794	30.1011049625867
ENSMUSG00000000126	Wnt9a	12.352328804419	41.0708292995518	9.08062944723084	11.0631686040518	11.1442963288458	15.5196322928866	5.6751883710027	14.410351335399	20.3041032362147	35.5592348123104	8.42739974852404	14.4272418378919	17.0853984166465	11.3205331940922	15.5067099828676
ENSMUSG00000000127	Fer	314.054433188737	419.819091727422	254.631986800402	339.968535894751	292.957480079379	385.513905726566	353.905831730645	278.539592574241	367.514122189495	380.476263426389	193.728636382131	250.377178056979	239.450203820772	357.702179148781	290.702271784029
ENSMUSG00000000131	Xpo6	690.742019869292	992.08782284029	630.649867441338	761.222875583297	715.582912559361	757.510094182031	862.066027627544	704.433970869007	697.675212608437	673.529744782427	549.136511287148	797.599304391364	472.964476148808	839.190078056634	748.913151753492
ENSMUSG00000000134	Tfe3	261.821575667622	472.118154858616	232.011250248942	361.329664235599	277.171324877765	343.078985337635	334.764409742359	380.763297284559	359.200959852358	301.083223911192	239.033687626675	333.740517419638	195.737310156335	345.385522776059	317.726021188249
ENSMUSG00000000142	Axin2	2550.67434345908	3369.75270368138	2464.23656327676	3039.39393344542	2885.72985916877	3121.16449655563	4607.52551089097	4001.04251460068	2963.75207541938	1383.14535678624	1384.66038680034	3457.48913501745	1695.37780578876	1739.71927324079	3487.51668746437
ENSMUSG00000000148	Brat1	202.905409707494	250.889676697237	172.664859967879	216.321046693478	170.156358605775	259.940168185074	249.595393262553	210.011869900339	246.317013590249	212.759192905034	161.369228093165	237.079213816779	159.758808155113	249.138835871469	196.602108637423
ENSMUSG00000000149	Gna12	545.828299820635	791.92282741151	478.007076063034	698.953146727329	529.144061842413	704.733352555086	890.435656400068	745.880344111448	668.524753684464	810.765978910757	419.931464054961	748.490624506691	474.448686797291	635.052551883533	649.115941677543
ENSMUSG00000000154	Slc22a18	1011.69455359112	1000.38102280972	708.880277173536	988.727504659	857.060324491456	1126.72915293522	1145.70842033374	1006.01468091382	827.997377143513	909.909068702611	858.61311804499	1055.53767445308	671.954417581669	1236.40889880925	827.770978055254
ENSMUSG00000000157	Itgb2l	0.719635551327429	0.778790494572912	0.655667145436772	1.15983497104491	0.392177902388686	0	1.16538723372658	0.702105975281806	0.397526194782847	0.393105395847759	0.379338425552945	0.330209710976454	0.376311591829417	0	2.05883594607321
ENSMUSG00000000159	Igsf5	1143.22646223633	1369.60122105924	859.11254649291	1050.75841613953	941.911597604021	1009.36078282614	1278.58505046374	990.496013679832	877.026456032134	1004.30782790882	706.128833645795	816.056042500364	608.339134582128	1074.68259391255	880.093120711783
ENSMUSG00000000167	Pih1d2	78.7703458417151	114.848015473292	66.4960022960924	89.9255613545611	82.0997012938431	45.2914248191698	81.4072766479504	90.4462960373417	72.786433552757	66.3432686347675	31.9013697014168	59.9034127903594	62.1680255437602	65.974968041227	111.992994716907
ENSMUSG00000000168	Dlat	1383.16299912955	1406.22961936682	1170.21538527419	1579.4451404085	1161.96015325518	1450.49460691091	1318.73722934132	936.692821460263	1248.77023282742	1125.0267938625	723.580483924823	1039.55587207354	919.918406546278	1386.14683287457	1091.53226770928
ENSMUSG00000000171	Sdhd	5849.34574730663	5687.85503121341	4548.56833029275	6369.71827592361	4490.44014560145	5998.74893030731	6077.28998912645	4206.7298417979	5026.6746378553	4708.68237732252	4008.61048029051	5123.48763240754	3450.3308038946	5854.97801073829	4341.45337409201
ENSMUSG00000000182	Fgf23	0.575786910442044	15.5759411482832	4.72531244935304	3.02295735418642	2.86010067778956	0	0	0.561851319053182	0	12.5935897397687	0	0	2.25248333507123	2.27971165776367	2.79242452941816
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	1782.37614873353	3505.72024855152	1794.43660713467	3273.6914368073	2266.64772310751	2190.30729124139	2288.86810897555	1626.8195502507	2801.37228427173	2423.08760979999	1596.92029493619	1596.27808611553	1581.00193979384	3088.88771837433	2082.29517817157
ENSMUSG00000000194	Gpr107	789.211675570595	1055.33208633631	676.857763247292	1061.70530957317	876.292792741834	1165.22179516849	1052.77216906075	867.562590270884	1065.62777542125	919.767173522093	645.062662628139	815.523074568032	718.398980217088	1091.06937722283	961.889587031026
ENSMUSG00000000197	Nalcn	6.17372115105637	1.72690229330297	1.78417019812022	8.59332632322476	5.07140879213136	7.03343683634211	0.714391532140969	3.3043475668525	13.4364724356358	8.19664297833372	2.36956997840941	3.95277475912039	13.3489188098441	11.3376432229465	4.64574853005224
ENSMUSG00000000202	Btbd17	34.5378696367106	44.9537124468474	35.9373230732475	31.0448792706776	17.7975915078947	13.8756724526598	11.5366126754606	37.8794373891596	1.85855967930564	16.0946606843994	11.9629192655248	12.7210572754479	5.03008252526525	6.51770185137502	11.4088928615985
ENSMUSG00000000204	Slfn4	1036.37830981053	3335.19641311666	2139.52584695265	789.161591776147	1098.00000068564	1468.30388268558	3766.58504472689	1271.11951384636	2555.61846348216	1120.38104832986	1513.41674157735	1658.87867640189	910.423633383236	3117.1795924984	956.861374676805
ENSMUSG00000000214	Th	3.70725019497771	2.87798089564672	3.09479361026723	7.96350905270459	7.88461508910977	6.38574221062098	5.96586295305809	9.74704693421566	10.6516462542947	1.7450622330829	5.79241523106362	2.68032139985637	3.43578941439926	1.11076457589127	3.61253036056609
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	82.6846838643597	48.0031147558501	57.7025001516441	203.849608406816	25.5177175449798	49.1731762945437	29.5494347749001	32.8082576763935	138.177600888142	75.3087348582107	34.3713259929778	38.9659585640095	45.6826140630291	121.65932573087	28.7200432608152
ENSMUSG00000000223	Drp2	13.154642548053	30.7557054466586	9.22307600348041	19.2055049273209	13.3165692736251	20.0932411835108	27.1838214448169	17.2242782586601	24.9346991527524	43.9485091128984	10.0950986163091	17.1568784351275	13.8318024447345	20.4582975474674	12.9714934633652
ENSMUSG00000000244	Tspan32	62.9119337985776	123.252127459784	185.699159932498	191.648401499258	70.7299662622522	86.3635682715636	117.432258362864	16.0087258366477	98.3438556648934	195.771192782987	28.1427926296746	14.3065408711915	91.7955626595047	104.204489857764	256.585916082945
ENSMUSG00000000247	Lhx2	0.710147889915202	4.2259447353825	1.6210404560654	8.75520500962731	1.23086335837008	0.638901498877359	0	1.38632712862842	0.392470483891563	3.10482844824727	0	0.596552199117457	0.694393098274991	0.35119700503352	1.80410559727867
ENSMUSG00000000248	Clec2g	1.27252366993996	10.4498808598193	1.52205905623799	3.60066758223662	1.69145879270716	1.73141793591957	2.74287846332872	12.7216838262426	2.63074418450877	0	0.818736815950489	1.42512835967509	1.64475203897358	6.40032789422233	1.64680759798362
ENSMUSG00000000253	Gmpr	303.904418872656	528.028924536804	353.821166324167	473.375808162711	355.635309392837	427.190606222765	393.594115954144	228.775401376401	447.548570194724	305.366667705374	218.547147706659	306.9697625223	309.865142248665	364.705099557984	399.50336933857
ENSMUSG00000000263	Glra1	0	2.51807468169409	0	0.610897920758006	0	0.599431005735581	1.59335187511716	1.13536035604793	0	0.636230687362397	0	0.48850341010533	0	0.501950232236082	0
ENSMUSG00000000266	Mid2	394.300645398554	515.995517588779	317.497802251046	490.591667555356	331.361140821064	506.218261980774	418.893209488178	341.338053737166	535.686284831279	459.860091880439	328.507883576492	384.143034056537	383.281221225367	458.815429100617	355.947827885408
ENSMUSG00000000275	Trim25	555.355195922913	1275.52735452413	705.821501418746	819.151993204768	686.896856723638	825.241578706509	980.576926794365	944.493101906424	970.981887680335	727.875472779204	616.357852434067	882.281178527231	424.683857019949	818.767051551449	603.061779429279
ENSMUSG00000000276	Dgke	95.3885911595318	144.412740242829	82.9125955388082	113.888376194891	100.681029000649	105.97381837566	103.37921983117	78.4924286151509	122.600085112341	116.537444553501	49.54504525166	66.3167733649478	84.7052391519264	99.3512532949088	107.815658066407
ENSMUSG00000000278	Scpep1	644.373107787334	886.56328590756	539.894823940075	682.640449793956	635.530878209547	823.419429896744	800.230514757615	579.915677085494	726.005106217683	907.685932371937	459.324943389164	697.619613494688	454.710376069094	922.147779700615	602.835441737658
ENSMUSG00000000282	Mnt	103.917392414823	232.409897058797	110.790686489378	145.931645318643	109.310019010757	127.236782015765	127.147118073862	143.112824553515	179.528528120183	117.992491854084	110.33892880841	143.887153504967	80.1868471376619	140.939553650369	130.158000709572
ENSMUSG00000000290	Itgb2	160.836869330378	446.562932320155	190.14926076058	176.226057048755	125.897161543027	230.994180391926	348.693407894018	224.260533756461	196.082666617758	417.957773278638	125.353711749201	202.430275293517	90.7694215368155	272.100830908974	123.933814635721
ENSMUSG00000000295	Hddc2	614.673303448659	791.288506928908	457.193731748094	591.459826074547	481.850002636808	466.231616236372	607.090446206638	484.602971685316	339.279885308834	402.412005067751	322.927669807695	435.946425677351	227.752280772817	581.555124933517	473.084313162491
ENSMUSG00000000296	Tpd52l1	155.832270607028	74.2970069527306	88.8258878942978	164.025362540253	157.003821832484	101.700161574276	167.145756550142	224.202679615869	51.201360495419	76.6223122739988	119.996034859247	163.04784584541	75.3740622480973	112.293329567545	136.199275125239
ENSMUSG00000000301	Pemt	168.576268621852	210.130713613715	116.292650873149	145.639853763874	153.402313819686	185.485845300255	154.245401147904	129.983772272991	84.5781258722716	125.534315155711	133.129381476086	162.080621220089	59.4671464338487	198.750935958958	108.098077952327
ENSMUSG00000000303	Cdh1	5553.32578907494	9970.02060864685	5908.17108358952	8384.67344665114	6503.72871470273	7436.91513964157	7084.33673552994	7817.2641120172	6510.71475419716	5878.44869686065	4452.10552262042	6154.30477066089	3940.35012977283	8403.43235146276	5729.41432414714
ENSMUSG00000000305	Cdh4	7.06780840150862	3.79922879754151	5.61391085751636	5.92455496271093	3.5229159003116	9.43814015727254	16.942637708448	4.62130765331931	5.56047842371398	6.00494439983691	2.50200389308842	9.25524987930135	5.4899474563615	12.3968675153603	6.82532023292792
