tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000193812	ENSMUST00000193812	ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000082908	ENSMUST00000082908	ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000162897	ENSMUST00000162897	ENSMUSG00000051951	109.756	182.02	180.258	143.516	89.648	125.804	172.025	84.549	120.237	107.924	75.327	119.677	57.473	129.016	122.745
ENSMUST00000159265	ENSMUST00000159265	ENSMUSG00000051951	106.116	188.41	139.137	178.391	89.441	113.019	101.677	116.779	103.452	53.886	63.636	123.13	52.023	108.552	90.464
ENSMUST00000070533	ENSMUST00000070533	ENSMUSG00000051951	241.128	374.571	264.605	311.093	192.911	250.177	306.298	224.672	194.31	176.19	126.037	279.193	115.505	237.432	211.791
ENSMUST00000192857	ENSMUST00000192857	ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195335	ENSMUST00000195335	ENSMUSG00000103377	21	73	49	72	30	39	54	43	27	20	35	44	19	44	38
ENSMUST00000192336	ENSMUST00000192336	ENSMUSG00000104017	18	33	20	38	23	32	29	51	26	12	15	28	12	31	21
ENSMUST00000194099	ENSMUST00000194099	ENSMUSG00000103025	14	21	20	19	14	16	30	8	19	5	6	13	11	14	16
ENSMUST00000161581	ENSMUST00000161581	ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192973	ENSMUST00000192973	ENSMUSG00000103201	18	37	39	29	13	24	29	30	27	15	17	19	24	26	23
ENSMUST00000192183	ENSMUST00000192183	ENSMUSG00000103147	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195166	ENSMUST00000195166	ENSMUSG00000103161	41	78	67	84	65	61	83	48	69	23	53	76	42	69	66
ENSMUST00000192692	ENSMUST00000192692	ENSMUSG00000102331	53	106	129	100	74	103	114	90	81	44	62	115	55	121	85
ENSMUST00000193244	ENSMUST00000193244	ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194454	ENSMUST00000194454	ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000157708	ENSMUST00000157708	ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194643	ENSMUST00000194643	ENSMUSG00000102343	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192427	ENSMUST00000192427	ENSMUSG00000102343	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
ENSMUST00000208660	ENSMUST00000208660	ENSMUSG00000025900	0	4	3.74	6.865	3.648	1	0	4.172	0	0	0	4	0	2	0
ENSMUST00000195384	ENSMUST00000195384	ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUST00000208793	ENSMUST00000208793	ENSMUSG00000025900	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1
ENSMUST00000027032	ENSMUST00000027032	ENSMUSG00000025900	0	0	1.26	2.135	3.352	0	3	2.828	0	2	1	0	0	0	0
ENSMUST00000194382	ENSMUST00000194382	ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000027035	ENSMUST00000027035	ENSMUSG00000025902	88.95	76.348	96.548	727.646	176.936	78.196	88.236	61.559	235.766	147.836	129.159	85.831	68.229	35.294	116.516
ENSMUST00000195555	ENSMUST00000195555	ENSMUSG00000025902	65.041	29.188	90.587	364.701	136.687	19.77	28.492	57.716	92.698	70.018	81.688	83.977	33.226	23.537	82.687
ENSMUST00000192650	ENSMUST00000192650	ENSMUSG00000025902	5.849	14.531	15.053	54.503	2.852	5.793	5.613	14.128	12.522	16.375	9.296	2.633	2.064	2.545	10.128
ENSMUST00000116652	ENSMUST00000116652	ENSMUSG00000025902	0	0	0	79.442	68.179	0	0	26.193	11.642	0	0	0	0	20.763	0
ENSMUST00000192505	ENSMUST00000192505	ENSMUSG00000025902	18.173	23.855	15.832	109.753	34.42	15.128	7.679	7.891	66.747	30.76	33.909	14.034	17.923	11.861	37.809
ENSMUST00000191647	ENSMUST00000191647	ENSMUSG00000025902	0	0	2.823	13.061	3.883	1.033	2.256	0	0	0	3.164	4.277	0	0	0
ENSMUST00000191939	ENSMUST00000191939	ENSMUSG00000025902	52.986	32.078	53.157	225.894	73.514	13.08	36.725	36.514	57.942	53.361	62.784	61.248	14.558	0	36.86
ENSMUST00000192913	ENSMUST00000192913	ENSMUSG00000025902	0	0	0	0	4.529	0	0	0	1.682	1.65	0	0	0	0	0
ENSMUST00000193450	ENSMUST00000193450	ENSMUSG00000104238	6	3	6	42	13	2	3	5	12	1	9	5	4	4	8
ENSMUST00000194935	ENSMUST00000194935	ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195361	ENSMUST00000195361	ENSMUSG00000102269	0	5	1	28	18	3	3	6.006	8	3	6	6	6	0	5
ENSMUST00000240255	ENSMUST00000240255	ENSMUSG00000118917	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
