tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000193812	ENSMUST00000193812	ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000082908	ENSMUST00000082908	ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000162897	ENSMUST00000162897	ENSMUSG00000051951	0.73305	1.072221	1.159042	0.909874	0.655659	0.783032	1.100326	0.543103	0.944702	0.841772	0.664662	0.592603	0.499531	0.722743	0.848348
ENSMUST00000159265	ENSMUST00000159265	ENSMUSG00000051951	1.000691	1.567133	1.262436	1.597342	0.921526	0.993254	0.918488	1.059004	1.148519	0.593574	0.793166	0.860709	0.638482	0.858924	0.882423
ENSMUST00000070533	ENSMUST00000070533	ENSMUSG00000051951	1.851299	2.536477	1.955397	2.267466	1.620541	1.790019	2.252348	1.658923	1.755471	1.579867	1.278625	1.589108	1.154088	1.529192	1.682419
ENSMUST00000192857	ENSMUST00000192857	ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195335	ENSMUST00000195335	ENSMUSG00000103377	0.21071	0.646066	0.472993	0.686014	0.328719	0.364689	0.519058	0.414893	0.318992	0.234422	0.464215	0.327247	0.248122	0.370468	0.394356
ENSMUST00000192336	ENSMUST00000192336	ENSMUSG00000104017	0.231745	0.374768	0.247572	0.464718	0.322623	0.383964	0.357769	0.631322	0.394457	0.180523	0.255397	0.267162	0.201097	0.33504	0.279514
ENSMUST00000194099	ENSMUST00000194099	ENSMUSG00000103025	0.173862	0.230039	0.238826	0.224118	0.189494	0.185181	0.356982	0.095525	0.278013	0.072551	0.098533	0.11965	0.177807	0.14594	0.205435
ENSMUST00000161581	ENSMUST00000161581	ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192973	ENSMUST00000192973	ENSMUSG00000103201	0.253284	0.459257	0.5275	0.387665	0.199106	0.31474	0.391062	0.405858	0.447847	0.246653	0.316413	0.198123	0.439592	0.307167	0.334524
ENSMUST00000192183	ENSMUST00000192183	ENSMUSG00000103147	0	0	0	0.033265	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195166	ENSMUST00000195166	ENSMUSG00000103161	0.383516	0.64354	0.603015	0.74607	0.664341	0.531762	0.743713	0.431772	0.759831	0.251306	0.655255	0.526972	0.511309	0.541551	0.638598
ENSMUST00000192692	ENSMUST00000192692	ENSMUSG00000102331	0.456208	0.804764	1.068561	0.817246	0.696406	0.826247	0.93992	0.745005	0.820638	0.442371	0.705279	0.733803	0.616132	0.873817	0.756904
ENSMUST00000193244	ENSMUST00000193244	ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194454	ENSMUST00000194454	ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000157708	ENSMUST00000157708	ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194643	ENSMUST00000194643	ENSMUSG00000102343	0	0.095284	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192427	ENSMUST00000192427	ENSMUSG00000102343	0	0	0	0.06898	0	0	0.034779	0	0	0	0	0	0	0	0
ENSMUST00000208660	ENSMUST00000208660	ENSMUSG00000025900	0	0.023463	0.023945	0.043338	0.026568	0.006198	0	0.026687	0	0	0	0.019723	0	0.011156	0
ENSMUST00000195384	ENSMUST00000195384	ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0.020694	0	0	0	0
ENSMUST00000208793	ENSMUST00000208793	ENSMUSG00000025900	0	0	0	0	0	0	0	0	0.010878	0	0	0	0.024052	0	0.009558
ENSMUST00000027032	ENSMUST00000027032	ENSMUSG00000025900	0	0	0.004823	0.008051	0.014618	0	0.011414	0.010808	0	0.009279	0.005248	0	0	0	0
ENSMUST00000194382	ENSMUST00000194382	ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000027035	ENSMUST00000027035	ENSMUSG00000025902	0.799759	0.605462	0.835303	6.21178	1.738739	0.655217	0.759924	0.532259	2.495279	1.552579	1.534781	0.572061	0.798386	0.266245	1.083694
ENSMUST00000195555	ENSMUST00000195555	ENSMUSG00000025902	0.955589	0.378277	1.279122	5.090627	2.184709	0.270707	0.401187	0.815239	1.605661	1.202199	1.587641	0.91426	0.635437	0.290355	1.255572
ENSMUST00000192650	ENSMUST00000192650	ENSMUSG00000025902	0.050627	0.110931	0.125376	0.447886	0.026991	0.046729	0.046531	0.117591	0.127568	0.165544	0.106332	0.016895	0.023244	0.018483	0.09068
ENSMUST00000116652	ENSMUST00000116652	ENSMUSG00000025902	0	0	0	1.492012	1.459411	0	0	0.497409	0.271572	0	0	0	0	0.344681	0
ENSMUST00000192505	ENSMUST00000192505	ENSMUSG00000025902	0.491774	0.569573	0.410688	2.825498	1.003186	0.381564	0.199366	0.205166	2.136763	0.97386	1.216324	0.281198	0.631596	0.269955	1.055415
ENSMUST00000191647	ENSMUST00000191647	ENSMUSG00000025902	0	0	0.291384	1.371507	0.430326	0.105334	0.238189	0	0	0	0.463704	0.34481	0	0	0
