gene_id	SYMBOL	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000000001	Gnai3	10558	11930	8990	9224	8038	9362	11229	9401	7334	8633	5329	9008	5743	10220	8784
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	581	655.001	558	551	471	395.00000000000006	653	459	307	410	281	482.99999999999994	276	546	476
ENSMUSG00000000031	H19	1663.001	1911	5611.999999999999	209	1919.001	1053	3771.001	2715.999999999999	82	211	919.999	1909.9999999999998	138	1292.9989999999998	2080
ENSMUSG00000000037	Scml2	52	40	40	67.99999999999999	37	46.00000000000001	47.99999999999999	58	56.001	29	53	59.001	46.999	55.00000000000001	37
ENSMUSG00000000049	Apoh	4	7	2	10	1	5	2	10	3	6	3	7	2	3	4
ENSMUSG00000000056	Narf	2155.0000000000005	2678	2176	2041.0000000000002	1675	2517.9999999999995	2415	2009	2600	1844.001	1303	2406.999	1712	2033	1763
ENSMUSG00000000058	Cav2	1060	1897	880	1154.001	626.999	1055	862	682	1071	1272.0010000000002	586.001	897.999	757	1184	902.0000000000001
ENSMUSG00000000078	Klf6	9745	18299	10504	12871.999	10104.999999999998	12197	10001	11101.000000000002	9586.001	11268	5110	8190	9219.000999999998	13167.999999999998	9105
ENSMUSG00000000085	Scmh1	953.001	1482.001	1162	1363.0000000000002	925.001	1213.001	1325.999	1134.9999999999998	1159.0010000000002	881	1109.9999999999998	1576.9999999999998	783.9999999999999	1264	1163.999
ENSMUSG00000000088	Cox5a	5663	5460.000000000001	5008	6159.001	4787.001	5775	5128	4482.999999999999	4161.000000000001	4322	3982	6089	3404.0000000000005	6066	4265.001
ENSMUSG00000000093	Tbx2	275	417	233	324	355	521	477	316	308	359	264	494	238	321	339
ENSMUSG00000000094	Tbx4	66	175	54	49	38	76	131	213	47	69	38	176	24	55	50
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	206	248	94	198	174	257	140	176	351	255	121	271	317	221	299
ENSMUSG00000000125	Wnt3	45	51	106	79	92	80	101	134	64	50	52	132	48	85	95
ENSMUSG00000000126	Wnt9a	41	126	33	35	37	50	18	49	61	108	29	57	58	38	53
ENSMUSG00000000127	Fer	916.9989999999999	1134	811.9999999999999	946	855.999	1092.9990000000003	987.0000000000001	835.999	971.001	1017.9999999999999	588	870.0010000000001	721	1052	877.999
ENSMUSG00000000131	Xpo6	3079.9999999999995	4105	3062.0009999999997	3312.0000000000005	3054	3181	3773.0020000000004	3276	2807.9999999999995	2773.9989999999993	2532.000000000001	3739.001000000001	2068.001	3678.9979999999996	3296.9990000000007
ENSMUSG00000000134	Tfe3	816.002	1374.9989999999996	826.0000000000001	1039.001	823.001	1031.001	1039	1141.999	988.001	860.001	710.9999999999999	1223	623.0010000000001	1056.001	979.0010000000001
ENSMUSG00000000142	Axin2	7218	8781	7599.998999999999	8858.000000000002	8121.998999999999	8147.001	12284.999000000002	11930.999999999998	7656	4143	4326	11862.000000000002	4944	5002	10618.999
ENSMUSG00000000148	Brat1	659.999	768	625	688	568.999	843.999	792.999	712.9989999999999	742	644	568	929.9999999999999	551.001	848	666
ENSMUSG00000000149	Gna12	1868	2505	1791	2280	1811	2332	2912	2615	2071	2539	1490	3049	1647	2198	2281
ENSMUSG00000000154	Slc22a18	1408.0009999999997	1259	1064	1292.9999999999998	1209	1521.0009999999997	1534.0010000000002	1443.999	1038.999	1104	1239	1728.001	954.0000000000001	1743	1140
ENSMUSG00000000157	Itgb2l	1	1	1	2	1	0	2	1	1	1	1	1	1	0	1
ENSMUSG00000000159	Igsf5	1668.506	1851	1389	1472.821	1398.2269999999999	1442.243	1790.135	1512.216	1161.057	1351.215	1066	1440.597	915.17	1587.5059999999999	1338
ENSMUSG00000000167	Pih1d2	69	92	66	84.001	68	49	80.001	91.001	59.001000000000005	56.999	36	81.99999999999999	65.00000000000001	66	89
ENSMUSG00000000168	Dlat	3354.9990000000003	3268	3032.0000000000005	3579	2470.0009999999997	3210	3089.0000000000005	2326.9990000000003	2773.9990000000003	2486.0000000000005	1965.9989999999998	3037	2186	3430	2747
ENSMUSG00000000171	Sdhd	6571	5904	5614	6808	5114	6540	6514	4845	5088	4833	4656	6858	3962	6637	5035
ENSMUSG00000000182	Fgf23	1	25	9	5	5	0	0	1	0	20	0	0	4	4	5
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	11244	20468.000999999997	12514	19710.999999999996	14394.000000000002	13146.000000000002	13935.000000000002	10655.999999999998	16179	13964.000000000002	10355	12153.001	10001	19773	13594.999
ENSMUSG00000000194	Gpr107	2987.0000000000005	3373.9990000000007	2773.9999999999995	3267.9999999999995	2671	3720	3265	3386.9990000000003	3116	3201.999	2308	3259.9999999999995	2551.999	3874.999	3097.999
ENSMUSG00000000197	Nalcn	41	9	12	47.001000000000005	37	49	5	22	81.999	52	18	20.999000000000002	90.001	84	35
ENSMUSG00000000202	Btbd17	59.001000000000005	85	64	55	34	20	23	56.00000000000001	5	31	17	30	10	15	19
ENSMUSG00000000204	Slfn4	3842.921	11940.662	9031.676	2801.903	4236.924	5298.393999999999	13865.178	4974.773	8912.446999999998	3817.0539999999996	6034.728	7630.128000000001	3568.118	12048.759	3700.844
ENSMUSG00000000214	Th	4	5	4	12	8	10	5	13	14	3	4	6	4	1	7
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	246	132	188	578	76	142	84	100	372	205	106	138	139	366	88
ENSMUSG00000000223	Drp2	80	165.999	74	104	83	123	154.999	97.99999999999999	131.99900000000002	248	66	114	91.999	133.001	90
ENSMUSG00000000244	Tspan32	112	205.999	349.001	292.999	133	163	204.999	29.000999999999998	154	309	50	32	167	163.999	473.99899999999997
ENSMUSG00000000247	Lhx2	2	11	5	7	2	1	0	4	1	8	0	2	2	1	3
ENSMUSG00000000248	Clec2g	3	4	1	3	4	1	3	5	2	0	2	4	1	8.003	4
ENSMUSG00000000253	Gmpr	442	694	550.001	661	502	596.999	556	336	587	412	288	530	468	529	603
ENSMUSG00000000263	Glra1	0	4	0	1	0	1	3	2	0	1	0	1	0	1	0
ENSMUSG00000000266	Mid2	1797	2117	1571.0010000000002	1911	1337.999	1934.0000000000002	1634.999	1509.9999999999998	1930.999	1760.001	1241	1794.9989999999998	1618	1889	1531
ENSMUSG00000000275	Trim25	2717	5869	3977	3857	3433	3949	4313	4627	4352	3458	3007	4807	2291	4730	3156
ENSMUSG00000000276	Dgke	603.999	838	543.001	677.999	651	653.999	606	532.0000000000001	675.0000000000001	663	322	506	549.0010000000001	637.0000000000001	734
ENSMUSG00000000278	Scpep1	1311	1667	1204	1323	1299	1626	1555	1209	1335	1689	968	1690	946	1896	1264
ENSMUSG00000000282	Mnt	484	972	553	648	495	558	566	668	731	488	533	786	382	616.9999999999999	624
ENSMUSG00000000290	Itgb2	470	1158	605	482.00100000000003	343	614.001	903	661	498.00100000000003	1089	324	662.999	272	782	329
ENSMUSG00000000295	Hddc2	462.999	556	393.00000000000006	428	377	348.99899999999997	451	381.001	241	292	255.00000000000003	403	185	459	374
ENSMUSG00000000296	Tpd52l1	147	68.001	94	151.99999999999997	158.00000000000003	100	154	228.00000000000003	46	65.999	117.999	191.00000000000003	72	114	140.00099999999998
ENSMUSG00000000301	Pemt	115.00000000000001	114.001	85.001	101.00000000000001	96	88.00000000000001	88	80.999	59	80.00099999999999	81	118.99999999999999	41	114.99999999999999	75
ENSMUSG00000000303	Cdh1	24930	41191	29014	35780	29039	32275	30294	35831	26416	24138	20669	32866	18052	38019	26423
ENSMUSG00000000305	Cdh4	38	23	34	37	23	60	42	31	33	36	17	60	25	22	46
ENSMUSG00000000308	Ckmt1	31650.999000000003	19843.999999999996	25320.997999999996	29749	23733.999999999996	31520.000000000007	19907	14768.997999999998	28539.999	25930.999000000003	21787	20147.999999999996	33208	43081.99999999999	20714.000000000007
ENSMUSG00000000317	Bcl6b	73	162	93	156	90	101	90	65	113	117	37	66	59	106	111
ENSMUSG00000000318	Clec10a	32.254000000000005	73.329	22.206	31.493	26.805	80.72900000000001	52.888	28.257	68.134	82.229	30.743	48.605	51.105000000000004	56.681	28.212999999999997
ENSMUSG00000000320	Alox12	654	1987	1513	2225	1039	777	859	714	1262	485	218	704	664	497	1102
ENSMUSG00000000326	Comt	3088	3422.001	2709	3605	2962	3413	3884.999	2681	3028	3009	1977	3498	2333.001	3037	3426
ENSMUSG00000000339	Rtca	806.001	1011	761.9999999999999	940	756.0000000000001	864.0000000000001	994.9999999999999	770.9989999999999	703.999	674	604.001	955	587	976.999	811
ENSMUSG00000000340	Dbt	1014	946	807	1077	866	1076	926	783.9999999999999	805	834	699	949	737	1098	833
ENSMUSG00000000346	Dazap2	4945.897	7074.931	5060.861	6044.969	4371.830999999999	5508.974000000001	5626.181	4764.870999999999	4723.949	4745.972	3629.9449999999997	5809.838000000001	3630.9829999999997	5936.214	4657.725
ENSMUSG00000000355	Mcts1	648	650.9999999999999	552	589.999	483	560	694.001	526	518.9989999999999	505	389	635	414.00100000000003	582	522.999
ENSMUSG00000000359	Rem1	101	151	68	113	123	157	88	56	176	207	91	167	140	130	146
ENSMUSG00000000365	Rnf17	3	2	3	5.001	10	16	3	0	3	7	5	3	45	0	12
ENSMUSG00000000374	Trappc10	5434	6854	4602	5549	4642.000000000001	5522.000000000001	5520.999	4358.000000000001	4799.999	4964.999	3860.0010000000007	5180.999	3758	6926.999999999999	4497.999000000001
ENSMUSG00000000378	Ccm2	924.9999999999999	1115.0010000000002	903.0010000000001	928	812.001	948	1100	959.0010000000001	751	902.001	616	1141.999	593.9990000000001	1054	853.9989999999999
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	1374.2130000000002	1685.1280000000004	1276.183	1717.6009999999997	1324.7129999999997	1340.272	1522.4690000000003	1147.3619999999999	1127.223	1014.19	1234	1662.654	853.3359999999999	1974.8250000000005	1223.677
ENSMUSG00000000385	Tmprss2	20686	20102	16753.001	20020.998999999996	17325.001	22278.000999999997	16421.999	14428.999	17064	20452.999	14521.001000000002	16879	14108.000000000002	25574.999999999996	15911.001000000002
ENSMUSG00000000386	Mx1	95.657	477.198	598.4580000000001	103.726	185.156	139.999	680.0460000000002	266.581	226.65200000000002	132.74699999999999	142.149	412.83500000000004	64.999	199.638	128.875
ENSMUSG00000000392	Fap	78	84	79.999	75.99900000000001	47	129	90.00099999999999	62.00000000000001	106	106	69	94	82	89.001	51.998999999999995
ENSMUSG00000000394	Gcg	420	108	251	413	461	690	133	293	276.00000000000006	248	689	479	453	486.999	217
ENSMUSG00000000399	Ndufa9	3354	3191	2659	3246	2607.9999999999995	3169	3096	2289	2402	2492	2274.001	3207	2001	3372	2408
ENSMUSG00000000402	Egfl6	26	211	9	7	8	43	137	85	16	9	6	92	50	15	17
ENSMUSG00000000409	Lck	156.99999999999997	191	201	130	94.999	167	258	197	107	216	90	256	81	122	111
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1
ENSMUSG00000000416	Cttnbp2	530	298	520.001	459	339	846	529.999	689.0009999999999	495.99999999999994	440.99999999999994	384	814	372	587	498.999
ENSMUSG00000000420	Galnt1	7347.999999999999	7546.999999999999	6131.999999999999	7364	6456	5674	7022.001	7000.999	4278.999	5759.001	4083.0009999999997	5795.998999999999	3478.0009999999997	6910.000000000002	6052.999999999998
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000439	Mkrn2	1044.001	1221	879	1014	938.9989999999999	1161.9989999999998	1084	930	1020	968	641	1197.9999999999998	844	1032	996
ENSMUSG00000000440	Pparg	1234	1288.001	974	1062.998	1439	1457.9989999999998	1261	1531	755.9999999999999	960.999	1063	1917.0000000000002	736.9999999999999	1625.001	1102.999
ENSMUSG00000000441	Raf1	4683	6029	4433.999	4720.999	4029.001	4975	5477	4094.001	4536.999999999999	4157	2967.0010000000007	5009.999000000001	3777	5010.000000000001	4474.001
ENSMUSG00000000486	Septin1	83	148.999	159	122.99900000000001	84	160.99900000000002	185.001	131	112	149	89.00099999999999	201.00099999999998	70	106	93
ENSMUSG00000000489	Pdgfb	296	530	379.99999999999994	408	234.001	294	359	339.001	324	383	266.001	423	233	378.999	304
ENSMUSG00000000530	Acvrl1	747.999	935	630.999	814	873.999	1325.9989999999998	981.999	906	1221	1601.999	584.999	1059	711	1133.999	1008.001
ENSMUSG00000000531	Tamalin	130	365	228	260	139	228	175	176	250	231	97	227	123	193.555	168
ENSMUSG00000000532	Acvr1b	2721	3203	2354	3168	2405	3520	2868	3041	2628	2608	2139	3135	2363	3612	2977
ENSMUSG00000000538	Tom1l2	1529.999	1822	1317.0000000000002	1736.001	1602.0009999999997	1988	1358.9999999999998	1422	2315.9999999999995	1676	1248	1706.9979999999998	1886.001	2259.0009999999997	1596.9999999999998
ENSMUSG00000000544	Gpa33	14390	18245.999	13375.000000000002	15146	13223.999	15276.999999999998	14799.000999999998	13299	12800.000999999998	15188.000000000002	9997.999	14255	11145	19969	12647.998999999998
ENSMUSG00000000552	Zfp385a	91.99999999999999	123	89	110	84	159	139	136.999	128	159	82	201.001	84	141	113
ENSMUSG00000000555	Itga5	1802.0010000000002	2181.9990000000003	1328	2769.9999999999995	1797.0000000000002	1747.0000000000002	946	1068	2650	2765.0000000000005	1645.0000000000002	1852	1822	3161.0000000000005	1936
ENSMUSG00000000560	Gabra2	1	0	0	0	2	5	0	0	0	1	0	0	2	2	2
ENSMUSG00000000561	Wdr77	1925.86	2218.751	1634.915	2124.348	1431.0109999999997	1467.213	2108.981	1634.557	1352.627	1274.8129999999999	1116.3	1778.868	1035.0829999999999	1841.848	1455.704
ENSMUSG00000000562	Adora3	16.194000000000003	17	6	21.999999999999996	16	14.304	24.499	39	23	19	12.051	19	12	35	15
ENSMUSG00000000563	Atp5pb	9995.072	9199.907000000001	8362.059	9852.738	7900.861	9243.098	9389.34	7170.443	7004.62	7159.412	6584.140999999999	9652.196	5884.45	10325.47	7415.075
ENSMUSG00000000567	Sox9	2978	3508	3884	4071	2363	3354	4026	4673	3002	1765	2117	4404	1738	3543	3705
ENSMUSG00000000568	Hnrnpd	1389.9999999999998	2332.999	1665.0009999999997	1961.9999999999998	1684.0000000000002	1642.6510000000003	1559.0019999999997	1238.0010000000002	1604.998	1276.0010000000002	978.9999999999999	1394.9999999999998	996.0000000000001	1945.7049999999997	1446.7090000000003
ENSMUSG00000000579	Dynlt1c	246.424	266.111	281.56	193.317	188.375	362.783	303.944	267.653	331.424	239.611	207.72899999999998	303.682	245.352	312.897	237.519
ENSMUSG00000000581	C1d	1451.001	1840	1322.0010000000002	1503	992.0010000000001	1403.0010000000002	1446.999	1101.001	1216	1334.999	816	1220	1041.001	1569	1174.001
ENSMUSG00000000594	Gm2a	1326	2227	1548	1747	1315	2015	2138	1558	1876	2318	1117	1950	1134	1880	1111
