task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	45/c35dae	16884489	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2022-03-13 10:31:50.566	3.7s	1s	84.8%	1.6 MB	5.4 MB	1.5 MB	2 KB
2	82/1c2935	16884491	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Mus_musculus.GRCm39.105.gtf.gz)	COMPLETED	0	2022-03-13 10:31:50.786	8.5s	3.7s	57.8%	2.4 MB	7.2 MB	30 MB	818.4 MB
1	25/9844fd	16884490	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Mus_musculus.GRCm39.dna.primary_assembly.fa.gz)	COMPLETED	0	2022-03-13 10:31:50.678	28.6s	20.7s	61.0%	2.4 MB	7.2 MB	769.2 MB	2.6 GB
27	be/b52d06	16884507	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (Mus_musculus.GRCm39.105.gtf)	COMPLETED	0	2022-03-13 10:31:59.454	54.8s	28s	39.3%	1.8 GB	1.9 GB	818.6 MB	16.3 MB
30	d5/6930dd	16884509	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Mus_musculus.GRCm39.dna.primary_assembly.fa)	COMPLETED	0	2022-03-13 10:32:20.406	48.9s	46s	16.8%	2.9 MB	11.9 MB	2.6 GB	7.6 KB
29	bc/0f91a4	16884508	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (Mus_musculus.GRCm39.dna.primary_assembly.fa)	COMPLETED	0	2022-03-13 10:32:20.281	1m 4s	57s	14.7%	992.5 MB	1003.4 MB	3.4 GB	818.4 MB
22	0e/e030fb	16884502	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_1)	COMPLETED	0	2022-03-13 10:31:55.828	3m 53s	3m 20s	187.2%	613.1 MB	3.3 GB	4.4 GB	4.6 MB
24	5e/ca2181	16884503	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_3)	COMPLETED	0	2022-03-13 10:31:55.959	4m 3s	3m 31s	187.7%	617.4 MB	3.3 GB	4.7 GB	4.6 MB
12	41/2894bc	16884494	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KI_5)	COMPLETED	0	2022-03-13 10:31:54.844	4m 14s	3m 42s	194.3%	610.9 MB	3.3 GB	5.2 GB	4.6 MB
21	98/42d49b	16884501	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KO_5)	COMPLETED	0	2022-03-13 10:31:55.701	4m 14s	3m 44s	195.8%	615.3 MB	3.3 GB	5.1 GB	4.6 MB
8	67/825526	16884495	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KI_3)	COMPLETED	0	2022-03-13 10:31:54.955	4m 29s	3m 58s	195.3%	575.5 MB	3.3 GB	5.5 GB	4.6 MB
4	94/f12a84	16884499	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KI_1)	COMPLETED	0	2022-03-13 10:31:55.446	4m 29s	3m 58s	191.3%	615.8 MB	3.3 GB	5.4 GB	4.6 MB
26	1f/e70630	16884506	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_5)	COMPLETED	0	2022-03-13 10:31:56.310	4m 33s	4m 4s	194.5%	607.8 MB	3.3 GB	5.7 GB	4.6 MB
16	db/4740d2	16884498	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KO_3)	COMPLETED	0	2022-03-13 10:31:55.324	4m 49s	4m 18s	196.0%	565.8 MB	3.2 GB	5.9 GB	4.6 MB
20	ac/a9b121	16884500	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KO_4)	COMPLETED	0	2022-03-13 10:31:55.572	4m 54s	4m 21s	190.7%	617 MB	3.3 GB	5.9 GB	4.6 MB
11	58/55c719	16884493	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KI_4)	COMPLETED	0	2022-03-13 10:31:54.729	5m	4m 29s	195.3%	567 MB	3.2 GB	6.3 GB	4.6 MB
38	90/0310aa	16884526	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Mus_musculus.GRCm39.dna.primary_assembly.fa)	COMPLETED	0	2022-03-13 10:33:24.456	3m 40s	3m 7s	22.5%	995.3 MB	1.1 GB	3.8 GB	1.2 GB
14	98/1fcc12	16884496	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KO_2)	COMPLETED	0	2022-03-13 10:31:55.072	5m 14s	4m 43s	196.2%	594.9 MB	3.3 GB	6.7 GB	4.6 MB
23	3f/67cd6b	16884505	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_2)	COMPLETED	0	2022-03-13 10:31:56.192	5m 18s	4m 49s	195.1%	614.5 MB	3.3 GB	6.7 GB	4.6 MB
13	25/d2c164	16884492	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KO_1)	COMPLETED	0	2022-03-13 10:31:54.627	5m 25s	4m 51s	194.7%	614.1 MB	3.3 GB	6.8 GB	4.6 MB
25	12/f42934	16884504	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_4)	COMPLETED	0	2022-03-13 10:31:56.074	5m 33s	5m 5s	196.2%	610.1 MB	3.3 GB	7.1 GB	4.6 MB
6	80/7a76b1	16884497	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (KI_2)	COMPLETED	0	2022-03-13 10:31:55.197	5m 39s	5m 7s	196.7%	569.8 MB	3.2 GB	7.3 GB	4.6 MB
28	9d/4bffaf	16884510	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (Mus_musculus.GRCm39.dna.primary_assembly.fa)	FAILED	137	2022-03-13 10:32:27.749	34m 12s	34m	-	-	-	-	-
33	1e/699db0	16884521	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_1)	COMPLETED	0	2022-03-13 10:33:05.144	54m 39s	54m 19s	139.1%	266.2 MB	2.9 GB	96.8 GB	92.3 GB
35	59/2974be	16884523	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_3)	COMPLETED	0	2022-03-13 10:33:05.395	59m 14s	58m 52s	141.2%	270 MB	2.9 GB	104.4 GB	99.6 GB
32	63/8a8caa	16884520	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (KO_5)	COMPLETED	0	2022-03-13 10:33:04.912	1h 2m 30s	1h 2m 9s	142.4%	258.6 MB	2.9 GB	113 GB	107.8 GB
18	2e/097853	16884513	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (KI_5)	COMPLETED	0	2022-03-13 10:33:04.043	1h 4m 40s	1h 4m 17s	139.7%	258.3 MB	2.9 GB	114.6 GB	109.3 GB
