UniqueCount	AmbigCount
0	0
0	0
39	368
40	278
186	218
0	0
72	0
38	0
19	0
0	0
29	0
1	0
84	0
100	0
0	0
0	0
0	0
0	0
2	0
6	1
0	0
0	1
2	1
0	0
111	1262
0	902
16	976
5	757
54	331
5	65
8	419
0	410
40	2
0	2
28	0
0	0
0	0
3	0
0	1
8	0
4	1
0	0
5	0
8	53
20	929
124	1498
7	256
2	984
19	0
100	225
7	752
0	269
5	1392
2533	2270
0	1406
2	1140
15	635
6	398
10	1591
2	994
155	278
452	3936
9	3936
4	87
0	0
0	1
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1575
24	2382
46	408
64	1677
65	235
0	117
4	2033
33	749
0	0
1	3
0	0
1	0
0	22
0	22
0	3
0	13
0	7
0	0
0	0
0	0
0	0
0	0
2	169
0	308
273	26
0	22
0	4
68	3695
26	107
4	56
2	1558
1	3118
93	458
1	1346
20	20
3	354
1	25
8	108
2	377
53	30
0	555
18	0
1	6
0	0
1	20
0	51
0	51
0	53
0	3
0	2
0	45
2	41
0	9
0	51
0	2
0	1
0	5
0	3
2	0
0	0
4	23
0	0
0	0
0	0
0	0
710	3009
0	348
0	9
0	2087
0	0
0	691
283	4
28	168
30	2883
3	2768
6	353
0	0
0	0
0	0
38	0
3	0
1	1
50	1
0	0
227	0
0	0
4	0
0	0
0	0
0	20
0	21
0	24
2	19
0	6
0	0
0	8
1	0
0	3
2	0
0	0
0	0
1	10
1	10
1	39
0	6
0	0
0	0
0	0
1	1
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1230	5
2	26
0	26
0	2
0	4
0	22
12	1
0	1
0	460
10	1
1	2
3	0
0	1
0	0
108	95
9	95
0	13
1	7
0	36
3624	4
1	3
0	2
1	3
0	3
0	1
0	1
0	0
2	371
0	361
0	386
27	3
0	277
6	328
1	0
0	0
0	374
0	12
4	37
3	315
30	20
19	36
0	0
0	0
0	0
0	0
0	0
0	0
14	306
79	240
0	85
0	130
24	130
1	0
8	21
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
221	2042
1	1092
8	1121
0	577
117	1077
9	400
25	313
31	2
0	20
104	662
205	92
0	78
0	254
0	34
7	325
49	331
0	70
0	259
0	68
0	48
5	553
0	38
0	0
400	34
5	64
30	27
5	35
5	23
0	13
0	11
0	137
12	4
16	35
7	8
1	65
4894	7888
1	736
8	1018
113	407
8	43
0	0
6	5684
141	0
24	276
0	767
0	38
7	38
2	0
7	0
3	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
2735	1909
39	28
3	753
0	0
14	293
0	0
0	268
0	262
0	870
1	261
0	0
