UniqueCount	AmbigCount
0	0
0	0
41	215
31	164
131	117
0	0
27	0
26	0
19	0
0	0
27	0
0	0
69	0
81	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	0
35	356
0	255
4	282
1	212
30	107
0	16
2	125
0	114
12	0
0	0
8	0
0	0
0	0
0	0
0	0
16	1
7	2
0	0
2	0
6	36
17	668
114	1043
5	177
2	608
16	0
102	175
3	481
0	160
2	921
1965	1523
1	935
3	721
9	414
2	295
19	1042
1	644
188	187
317	2999
20	2998
5	45
1	0
1	4
0	4
0	3
0	3
0	2
1	0
0	0
1	0
0	0
0	0
0	0
0	1208
25	1814
32	306
86	1266
90	172
0	85
4	1546
55	527
0	0
0	0
0	0
3	3
0	77
0	77
1	17
0	39
7	18
0	0
0	0
0	0
0	0
0	0
1	185
0	336
307	17
1	17
0	0
122	4134
41	114
1	69
1	1672
0	3495
167	510
2	1549
21	29
9	402
7	31
17	103
2	451
102	25
0	625
3	0
0	13
0	0
1	21
0	74
0	74
0	74
0	0
0	1
0	63
0	51
0	6
0	74
0	6
0	7
0	11
0	13
0	0
0	0
2	13
0	0
0	0
0	0
0	0
683	3174
0	317
2	17
0	2232
0	0
0	696
549	2
47	171
61	3089
9	2974
4	248
0	0
0	0
0	0
31	0
0	0
2	0
36	0
0	0
178	2
0	0
2	0
0	0
0	0
0	25
0	28
0	33
1	30
0	2
0	0
0	8
0	0
0	3
1	0
0	0
1	0
6	22
3	23
1	15
0	1
0	0
0	0
0	0
3	0
0	1
0	1
1	0
1	0
0	0
0	0
0	0
0	0
0	0
4	0
740	3
1	17
1	17
0	2
0	3
0	11
11	2
2	3
1	286
13	2
0	6
6	0
0	5
0	0
93	69
5	69
0	10
4	4
0	22
3011	7
1	2
0	1
0	2
0	2
0	1
0	1
0	0
2	355
1	345
0	362
50	3
0	250
4	303
0	0
0	0
1	356
0	12
4	37
3	298
33	15
42	35
1	0
0	0
0	0
0	0
1	0
0	0
13	175
63	136
0	60
0	92
23	79
0	0
4	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
186	1396
1	700
7	749
0	408
117	761
7	266
24	202
59	3
0	18
110	703
327	125
0	106
0	296
2	38
7	379
71	372
0	77
0	296
1	68
0	54
5	556
0	44
0	0
602	43
3	84
42	31
8	34
10	18
0	13
0	9
1	118
18	8
17	35
3	8
3	104
3857	6190
0	501
9	807
176	280
14	38
0	0
12	4560
186	0
35	205
0	622
0	36
10	36
9	0
18	0
8	0
0	0
5	8
1	0
0	0
0	0
0	0
0	0
2145	1439
80	41
7	574
0	0
25	251
0	0
0	155
0	159
1	601
0	163
0	0
0	24
1	12
