UniqueCount	AmbigCount
0	0
0	0
18	113
12	86
82	56
0	0
19	0
12	0
11	0
0	0
24	0
0	0
41	2
55	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	2
0	0
14	102
0	78
0	83
0	69
7	34
0	6
1	34
0	29
4	0
0	0
5	1
1	0
0	0
1	0
0	0
9	2
9	0
0	0
5	0
7	36
9	543
75	801
0	180
1	460
23	0
82	133
4	398
0	132
2	692
1144	1120
0	706
4	528
15	328
0	219
10	787
4	474
138	136
312	2350
15	2350
0	25
1	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	937
19	1378
24	256
70	919
44	134
0	77
6	1192
25	436
0	0
1	0
0	0
2	4
0	60
0	60
0	16
0	29
6	17
0	0
0	0
0	0
1	0
0	0
0	154
0	297
250	26
1	25
0	1
76	3381
31	97
5	58
0	1441
0	2833
151	432
2	1183
28	27
3	305
12	19
11	112
6	347
82	26
0	504
7	0
2	4
0	0
3	16
0	76
0	76
0	76
0	0
0	1
0	60
1	50
0	9
0	76
0	6
0	1
0	5
0	8
0	0
0	0
1	11
0	0
0	0
0	0
0	0
663	2697
0	296
0	13
0	1875
0	0
0	615
343	0
16	152
51	2604
4	2506
3	207
0	0
0	0
0	0
20	0
0	0
1	1
33	1
0	0
133	0
0	0
0	0
0	0
0	0
0	23
0	28
0	30
3	23
0	3
0	1
0	6
2	0
0	6
3	0
0	0
0	0
1	17
3	17
0	10
0	3
0	0
0	0
0	0
8	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
370	2
1	65
0	63
0	3
0	8
2	55
10	2
0	3
0	256
9	3
1	3
9	0
0	5
0	0
77	56
0	56
0	11
0	8
0	9
2161	2
1	0
0	0
2	2
0	2
0	0
0	1
0	0
4	232
0	227
0	241
34	0
0	174
4	203
1	0
0	0
0	234
0	4
4	19
0	197
18	20
19	19
1	0
0	0
0	0
0	0
0	0
0	0
10	188
40	129
0	52
0	96
14	99
0	0
3	13
0	13
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	1
0	0
147	1093
0	590
6	626
0	365
72	593
12	254
25	150
19	1
1	14
99	470
255	95
0	79
0	192
0	24
2	238
47	245
0	59
0	191
2	55
0	41
1	362
0	32
0	0
383	13
4	46
30	24
4	27
9	16
0	5
0	11
0	81
16	8
11	25
2	1
0	64
2863	4854
0	414
4	632
126	290
8	24
0	0
6	3494
98	0
23	173
0	466
0	45
7	45
3	0
9	0
3	0
0	0
0	9
0	0
0	0
0	0
0	2
0	0
1476	1008
51	28
3	432
0	0
22	149
0	0
0	114
1	114
0	414
1	120
0	0
0	20
0	4
0	0
