"condition"	"replicate"	"fastq_1"	"fastq_2"	"strandedness"
"WT"	1	"A006850177_164114_S14_L001_R1_001.fastq.gz"	"A006850177_164114_S14_L001_R2_001.fastq.gz"	"reverse"
"WT"	2	"A006850177_164117_S15_L001_R1_001.fastq.gz"	"A006850177_164117_S15_L001_R2_001.fastq.gz"	"reverse"
"WT"	3	"A006850177_164119_S16_L001_R1_001.fastq.gz"	"A006850177_164119_S16_L001_R2_001.fastq.gz"	"reverse"
"WT"	4	"A006850177_164121_S17_L001_R1_001.fastq.gz"	"A006850177_164121_S17_L001_R2_001.fastq.gz"	"reverse"
"WT"	5	"A006850177_164123_S18_L001_R1_001.fastq.gz"	"A006850177_164123_S18_L001_R2_001.fastq.gz"	"reverse"
"KO"	1	"A006850177_164125_S19_L001_R1_001.fastq.gz"	"A006850177_164125_S19_L001_R2_001.fastq.gz"	"reverse"
"KO"	2	"A006850177_164127_S20_L001_R1_001.fastq.gz"	"A006850177_164127_S20_L001_R2_001.fastq.gz"	"reverse"
"KO"	3	"A006850177_164129_S21_L001_R1_001.fastq.gz"	"A006850177_164129_S21_L001_R2_001.fastq.gz"	"reverse"
"KO"	4	"A006850177_164131_S22_L001_R1_001.fastq.gz"	"A006850177_164131_S22_L001_R2_001.fastq.gz"	"reverse"
"KO"	5	"A006850177_164133_S23_L001_R1_001.fastq.gz"	"A006850177_164133_S23_L001_R2_001.fastq.gz"	"reverse"
"KI"	1	"A006850177_164135_S24_L001_R1_001.fastq.gz"	"A006850177_164135_S24_L001_R2_001.fastq.gz"	"reverse"
"KI"	2	"A006850177_164137_S25_L001_R1_001.fastq.gz"	"A006850177_164137_S25_L001_R2_001.fastq.gz"	"reverse"
"KI"	3	"A006850177_164139_S26_L001_R1_001.fastq.gz"	"A006850177_164139_S26_L001_R2_001.fastq.gz"	"reverse"
"KI"	4	"A006850177_164141_S27_L001_R1_001.fastq.gz"	"A006850177_164141_S27_L001_R2_001.fastq.gz"	"reverse"
"KI"	5	"A006850177_164143_S28_L001_R1_001.fastq.gz"	"A006850177_164143_S28_L001_R2_001.fastq.gz"	"reverse"
