gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	seqnames	start	end	width	strand	gene_name	gene_biotype	seq_coord_system	description	canonical_transcript	symbol	entrezid
ENSMUSG00000066632	29.32127370386204	21.893373407438503	3.001581497196452	1.8878810312169677e-13	6.069726303465673e-9	12	10948986	10950240	1255	-	Pgk1-rs7	processed_pseudogene	chromosome	phosphoglycerate kinase-1, related sequence-7 [Source:MGI Symbol;Acc:MGI:97562]	ENSMUST00000085735	Pgk1-rs7	"NA"
ENSMUSG00000104063	210.9719836806526	-0.0043447396419997175	0.05632589091427075	3.7870305607012774e-5	0.2906948987612461	18	37884653	37974926	90274	+	Pcdhgb7	protein_coding	chromosome	protocadherin gamma subfamily B, 7 [Source:MGI Symbol;Acc:MGI:1935199]	ENSMUST00000194928	Pcdhgb7	93704
ENSMUSG00000033498	42.41591430489902	0.015381557526995627	0.16257486511006444	4.9023035790841375e-5	0.2906948987612461	2	121194209	121217649	23441	-	Strc	protein_coding	chromosome	stereocilin [Source:MGI Symbol;Acc:MGI:2153816]	ENSMUST00000038389	Strc	140476
ENSMUSG00000092746	398.09966844630287	-0.003271873402184687	0.047402885018782634	4.976416149540975e-5	0.2906948987612461	6	69493323	69493613	291	+	Rn7s6	misc_RNA	chromosome	7S RNA 6 [Source:MGI Symbol;Acc:MGI:97956]	ENSMUST00000175005	Rn7s6	"NA"
ENSMUSG00000015437	33.87431757311655	0.012274901681459177	0.142301158277387	5.7959329645337426e-5	0.2906948987612461	14	56496295	56499717	3423	-	Gzmb	protein_coding	chromosome	granzyme B [Source:MGI Symbol;Acc:MGI:109267]	ENSMUST00000015581	Gzmb	14939
ENSMUSG00000044906	272.5229453928027	0.0019303778523065945	0.029725018921705884	5.914558582459348e-5	0.2906948987612461	18	70585283	70605580	20298	-	4930503L19Rik	protein_coding	chromosome	RIKEN cDNA 4930503L19 gene [Source:MGI Symbol;Acc:MGI:1922045]	ENSMUST00000067556	4930503L19Rik	269033
ENSMUSG00000024029	16236.281416675449	-0.0015725766660737083	0.024800633064121745	7.057147609576207e-5	0.2906948987612461	17	31344280	31348620	4341	-	Tff3	protein_coding	chromosome	trefoil factor 3, intestinal [Source:MGI Symbol;Acc:MGI:104638]	ENSMUST00000024827	Tff3	21786
ENSMUSG00000076534	16.489695608384817	-0.07811930350313981	0.6241114791755715	8.227171943093274e-5	0.2906948987612461	6	68811830	68812291	462	-	Igkv12-89	IG_V_gene	chromosome	immunoglobulin kappa chain variable 12-89 [Source:MGI Symbol;Acc:MGI:4439829]	ENSMUST00000199143	Igkv12-89	"NA"
ENSMUSG00000025997	912.7831810252607	0.0013816544888919024	0.02307916125431344	8.90937677606025e-5	0.2906948987612461	1	69570373	69726404	156032	-	Ikzf2	protein_coding	chromosome	IKAROS family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1342541]	ENSMUST00000190771	Ikzf2	22779
ENSMUSG00000014704	63.59745560077971	-0.0019033156372250185	0.034743635230966685	9.729420986049467e-5	0.2906948987612461	6	52139397	52141811	2415	-	Hoxa2	protein_coding	chromosome	homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]	ENSMUST00000014848	Hoxa2	15399
ENSMUSG00000114635	5.092263595800598	0.08447567949000599	0.710851363955375	1.1180295117035773e-4	0.2906948987612461	13	60990435	61044708	54274	-	Gm49392	protein_coding	chromosome	predicted gene, 49392 [Source:MGI Symbol;Acc:MGI:6121621]	ENSMUST00000225690	Gm49392	"NA"
