gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	seqnames	start	end	width	strand	gene_name	gene_biotype	seq_coord_system	description	canonical_transcript	symbol	entrezid
ENSMUSG00000119774	26.332396217625988	21.43652911059078	2.979825206802694	2.69424954581984e-13	4.449791307997596e-9	3	96357762	96357927	166	+	Gm26232	snRNA	chromosome	predicted gene, 26232 [Source:MGI Symbol;Acc:MGI:5456009]	ENSMUST00000083839	Gm26232	115489800
ENSMUSG00000079362	22.36675234944878	21.217568069022896	2.980041956793534	4.700070037494161e-13	4.449791307997596e-9	5	105362773	105441561	78789	-	Gm43302	protein_coding	chromosome	predicted gene 43302 [Source:MGI Symbol;Acc:MGI:5663439]	ENSMUST00000050011	Gm43302	"NA"
ENSMUSG00000044349	292.2285458819552	-1.6124823246601023	0.26027117806270306	2.7205663326159645e-11	1.7171307836027764e-7	2	158217558	158228071	10514	+	Snhg11	protein_coding	chromosome	small nucleolar RNA host gene 11 [Source:MGI Symbol;Acc:MGI:2441845]	ENSMUST00000109488	Snhg11	319317
ENSMUSG00000107476	280.2930654704163	-0.5251810226128186	0.12029476194660133	1.2746229871742257e-9	6.033746565535991e-6	6	48481271	48511766	30496	+	Zfp862-ps	transcribed_unitary_pseudogene	chromosome	zinc finger protein 862, pseudogene [Source:MGI Symbol;Acc:MGI:1889827]	ENSMUST00000204484	Zfp862-ps	58894
ENSMUSG00000029379	68.78310721177098	2.7434584167965874	0.7787938022648244	5.94136484684972e-9	2.2499948675019887e-5	5	90933962	90937459	3498	+	Cxcl3	protein_coding	chromosome	chemokine (C-X-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:3037818]	ENSMUST00000031326	Cxcl3	330122
ENSMUSG00000029060	924.0380717820672	-0.6096155413874396	0.1525769510448851	2.2784238136080773e-8	7.190325818444825e-5	4	155739134	155753655	14522	-	Mib2	protein_coding	chromosome	mindbomb E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:2679684]	ENSMUST00000103176	Mib2	76580
ENSMUSG00000025395	641.9965050039411	0.3984995185411133	0.12370388587029771	1.5065613960226319e-7	4.056761394759714e-4	10	127851037	127865906	14870	+	Prim1	protein_coding	chromosome	DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]	ENSMUST00000178041	Prim1	19075
ENSMUSG00000109179	73.99016320062597	-0.8412019926039963	0.2055321461896964	1.7139736550344712e-7	4.056761394759714e-4	15	76238632	76249401	10770	+	Gm35339	protein_coding	chromosome	predicted gene, 35339 [Source:MGI Symbol;Acc:MGI:5594498]	ENSMUST00000208833	Gm35339	102638882
ENSMUSG00000024401	256.34563610939745	0.9621794822572899	0.2667355110949153	9.746489900240316e-7	0.0018562895996882675	17	35418357	35420983	2627	-	Tnf	protein_coding	chromosome	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	ENSMUST00000025263	Tnf	21926
ENSMUSG00000036062	201.34351384346186	-0.9308289104121711	0.2630574216236629	1.0326956873475332e-6	0.0018562895996882675	4	42916660	42944752	28093	+	Phf24	protein_coding	chromosome	PHD finger protein 24 [Source:MGI Symbol;Acc:MGI:2140712]	ENSMUST00000107975	Phf24	230085
ENSMUSG00000067995	731.8057665153024	0.2585483516798104	0.06839876278394205	1.0783831843977261e-6	0.0018562895996882675	14	76134377	76248305	113929	-	Gtf2f2	protein_coding	chromosome	general transcription factor IIF, polypeptide 2 [Source:MGI Symbol;Acc:MGI:1915955]	ENSMUST00000088922	Gtf2f2	68705
