gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	seqnames	start	end	width	strand	gene_name	gene_biotype	seq_coord_system	description	canonical_transcript	symbol	entrezid
ENSMUSG00000066632	30.77846146355616	-22.426011022755937	2.9802103143593577	2.1075139846725425e-14	3.7553791692880036e-10	12	10948986	10950240	1255	-	Pgk1-rs7	processed_pseudogene	chromosome	phosphoglycerate kinase-1, related sequence-7 [Source:MGI Symbol;Acc:MGI:97562]	ENSMUST00000085735	Pgk1-rs7	"NA"
ENSMUSG00000030431	567.9854364683688	0.5662903308339732	0.09796666119112295	3.3398603069336053e-11	2.975648540462496e-7	7	4787556	4792655	5100	-	Tmem238	protein_coding	chromosome	transmembrane protein 238 [Source:MGI Symbol;Acc:MGI:1922935]	ENSMUST00000168578	Tmem238	664968
ENSMUSG00000063200	1504.3042450648484	0.3382949198749291	0.06298695937842715	1.6431585510506685e-10	9.759814073723956e-7	13	43551866	43560573	8708	+	Nol7	protein_coding	chromosome	nucleolar protein 7 [Source:MGI Symbol;Acc:MGI:1917328]	ENSMUST00000071926	Nol7	70078
ENSMUSG00000093954	40.35012436569758	5.884051625980622	0.967091830513813	9.048439849482891e-10	4.030853741948391e-6	14	69600953	69740811	139859	-	Gm16867	protein_coding	chromosome	predicted gene, 16867 [Source:MGI Symbol;Acc:MGI:4439791]	ENSMUST00000180059	Gm16867	"NA"
ENSMUSG00000043448	65.40178634000125	-0.8644543332914817	0.20330089527112366	5.209597027616981e-9	1.8565961887021398e-5	11	59066394	59074039	7646	-	Gjc2	protein_coding	chromosome	gap junction protein, gamma 2 [Source:MGI Symbol;Acc:MGI:2153060]	ENSMUST00000108793	Gjc2	118454
ENSMUSG00000044349	235.2847456785211	-0.8367670874574051	0.2442179904682974	6.825452643851904e-8	2.0270456776799514e-4	2	158217558	158228071	10514	+	Snhg11	protein_coding	chromosome	small nucleolar RNA host gene 11 [Source:MGI Symbol;Acc:MGI:2441845]	ENSMUST00000109488	Snhg11	319317
ENSMUSG00000022351	4631.735597118993	0.4526450176743636	0.11129990878095092	1.1577276842361014e-7	2.9470785150575844e-4	15	59186926	59203041	16116	+	Sqle	protein_coding	chromosome	squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]	ENSMUST00000022977	Sqle	20775
ENSMUSG00000118669	616.3243482648628	-0.4702411856593063	0.11805880204666981	1.5335312221209975e-7	3.395788252011145e-4	16	18166046	18225826	59781	+	Arvcf	protein_coding	chromosome	armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]	ENSMUST00000239534	Arvcf	11877
ENSMUSG00000040950	169.54567700337046	-0.7958975433495165	0.24923349654495747	1.7151408198047202e-7	3.395788252011145e-4	11	70021155	70028376	7222	+	Mgl2	protein_coding	chromosome	macrophage galactose N-acetyl-galactosamine specific lectin 2 [Source:MGI Symbol;Acc:MGI:2385729]	ENSMUST00000165951	Mgl2	216864
ENSMUSG00000029060	959.7820834509599	-0.5382219012145923	0.141399620101862	2.238347564137486e-7	3.9885115245365867e-4	4	155739134	155753655	14522	-	Mib2	protein_coding	chromosome	mindbomb E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:2679684]	ENSMUST00000103176	Mib2	76580
ENSMUSG00000020532	6168.358085842052	0.2655380995594491	0.0685596344139092	4.712841199960294e-7	7.611951817669206e-4	11	84020498	84292477	271980	+	Acaca	protein_coding	chromosome	acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]	ENSMUST00000103201	Acaca	107476
ENSMUSG00000051427	438.76437090342046	-0.43633926836515763	0.11924658019260378	5.126181144398141e-7	7.611951817669206e-4	11	4091123	4110293	19171	-	Ccdc157	protein_coding	chromosome	coiled-coil domain containing 157 [Source:MGI Symbol;Acc:MGI:3041210]	ENSMUST00000093381	Ccdc157	216516
ENSMUSG00000032193	8517.464212622679	0.3946803886885322	0.10850013487475435	5.899777164840261e-7	8.086779176945277e-4	9	21634779	21661215	26437	+	Ldlr	protein_coding	chromosome	low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:96765]	ENSMUST00000034713	Ldlr	16835
ENSMUSG00000026187	1333.6980175739052	0.28273273755898326	0.0763270757911953	7.323198746053161e-7	8.64695517090549e-4	1	72346586	72434111	87526	+	Xrcc5	protein_coding	chromosome	X-ray repair complementing defective repair in Chinese hamster cells 5 [Source:MGI Symbol;Acc:MGI:104517]	ENSMUST00000027379	Xrcc5	22596
ENSMUSG00000057836	90.69718226260191	3.367581133113321	1.6652558025148823	7.890676533111028e-7	8.64695517090549e-4	X	72129899	72140701	10803	-	Xlr3a	protein_coding	chromosome	X-linked lymphocyte-regulated 3A [Source:MGI Symbol;Acc:MGI:109506]	ENSMUST00000114524	Xlr3a	22445
ENSMUSG00000105940	150.5935392906224	-0.6571792699580603	0.21540503884016968	8.352326860235839e-7	8.64695517090549e-4	5	57881735	57884305	2571	+	Gm42635	TEC	chromosome	predicted gene 42635 [Source:MGI Symbol;Acc:MGI:5662772]	ENSMUST00000200266	Gm42635	"NA"
ENSMUSG00000036622	1740.7254883965832	-0.33059931387841685	0.09246012160951539	8.472429936368628e-7	8.64695517090549e-4	4	140714184	140734641	20458	+	Atp13a2	protein_coding	chromosome	ATPase type 13A2 [Source:MGI Symbol;Acc:MGI:1922022]	ENSMUST00000037055	Atp13a2	74772
ENSMUSG00000027778	757.1448636361578	-0.34808859243838525	0.09796528829926286	8.734788320124521e-7	8.64695517090549e-4	3	68799832	68911903	112072	-	Ift80	protein_coding	chromosome	intraflagellar transport 80 [Source:MGI Symbol;Acc:MGI:1915509]	ENSMUST00000169064	Ift80	68259
