ENSMUST00000193198	ENSMUSG00000102628	Gm37671
ENSMUST00000191430	ENSMUSG00000100595	Gm19087
ENSMUST00000181451	ENSMUSG00000097426	Gm8941
ENSMUST00000194081	ENSMUSG00000104478	Gm38212
ENSMUST00000194393	ENSMUSG00000104385	Gm7449
ENSMUST00000132100	ENSMUSG00000086053	Gm15178
ENSMUST00000185509	ENSMUSG00000101231	Gm28283
ENSMUST00000194605	ENSMUSG00000102135	Gm37108
ENSMUST00000191703	ENSMUSG00000103282	Gm37275
ENSMUST00000191467	ENSMUSG00000101097	Gm6679
ENSMUST00000186289	ENSMUSG00000100764	Gm29155
ENSMUST00000185910	ENSMUSG00000100764	Gm29155
ENSMUST00000188305	ENSMUSG00000102095	C730036E19Rik
ENSMUST00000193423	ENSMUSG00000102534	Gm37225
ENSMUST00000188261	ENSMUSG00000100831	Gm17847
ENSMUST00000185658	ENSMUSG00000100884	Gm28281
ENSMUST00000188753	ENSMUSG00000100635	Gm29157
ENSMUST00000191883	ENSMUSG00000102213	Gm37489
ENSMUST00000187764	ENSMUSG00000100480	Gm29156
ENSMUST00000158412	ENSMUSG00000089037	Gm22159
ENSMUST00000195648	ENSMUSG00000103629	Gm5694
ENSMUST00020182710	ENSMUSG00002076531	7SK
ENSMUST00000190856	ENSMUSG00000100025	Gm8141
ENSMUST00000061280	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182114	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182306	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182823	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182675	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182388	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182892	ENSMUSG00000051285	Pcmtd1
ENSMUST00000183204	ENSMUSG00000051285	Pcmtd1
ENSMUST00000182051	ENSMUSG00000098201	Gm26983
ENSMUST00000194854	ENSMUSG00000103509	Gm38372
ENSMUST00000029124	ENSMUSG00000048538	Gm9826
ENSMUST00000195269	ENSMUSG00000103709	Nras-ps2
ENSMUST00000104056	ENSMUSG00000077244	Gm23274
ENSMUST00000192649	ENSMUSG00000102768	Gm19002
ENSMUST00000181554	ENSMUSG00000097797	Gm26901
ENSMUST00000193106	ENSMUSG00000097797	Gm26901
ENSMUST00000193732	ENSMUSG00000097797	Gm26901
ENSMUST00000193428	ENSMUSG00000097797	Gm26901
ENSMUST00000193998	ENSMUSG00000103498	Gm18984
ENSMUST00000194886	ENSMUSG00000103067	Gm30414
ENSMUST00000195081	ENSMUSG00000102320	Gm37791
ENSMUST00000194219	ENSMUSG00000104226	Gm7470
ENSMUST00000194305	ENSMUSG00000103903	Rps2-ps2
ENSMUST00000194872	ENSMUSG00000103557	Gm38216
ENSMUST00000137092	ENSMUSG00000026312	Cdh7
